seed,arm,fold,bacc,mcc,mae_plain,macro_mae_true,qwk,lr,wd,epoch,grid_edge_wd,grid_edge_epoch,per_class_recall
0,B0d,3,0.6597603986499373,0.741656569394552,0.22589531680440772,0.4446718746661764,0.8897025054855335,0.001,1.0,550,False,False,"[0.9861495844875346, 0.5526315789473685, 0.8272251308900523, 0.4166666666666667, 0.5161290322580645]"
0,B0d,4,0.605041434828404,0.6966951450626307,0.27709190672153633,0.5317409389878971,0.8624060360616469,0.001,3.0,250,False,False,"[0.9826086956521739, 0.5789473684210527, 0.7853658536585366, 0.2564102564102564, 0.421875]"
0,B0d,5,0.6324964301235488,0.7174813094525068,0.25336927223719674,0.4806171229900043,0.8807839322760329,0.01,10.0,740,False,False,"[0.9943502824858758, 0.6025641025641025, 0.7523809523809524, 0.22857142857142856, 0.5846153846153846]"
0,B0d,6,0.6511386190503339,0.7370711020704925,0.2408660351826793,0.46888480216154244,0.8799868300745926,0.001,0.1,200,False,False,"[0.9766081871345029, 0.5844155844155844, 0.8433179723502304, 0.35135135135135137, 0.5]"
0,B0d,7,0.6341082568455513,0.7000857539905403,0.26068965517241377,0.48524521817657024,0.8686993276274424,0.01,0.1,80,False,False,"[0.9838274932614556, 0.49295774647887325, 0.734375, 0.36363636363636365, 0.5957446808510638]"
0,B0d,8,0.598561891224261,0.6861132586630532,0.27900552486187846,0.536037866721714,0.8596561356193412,0.01,30.0,750,False,False,"[0.9529085872576177, 0.547945205479452, 0.7959183673469388, 0.20512820512820512, 0.4909090909090909]"
0,B0d,9,0.6523699959567588,0.7235974315317443,0.22131147540983606,0.4245448728940707,0.9068906711692697,0.01,0.01,60,False,False,"[0.9761273209549072, 0.5492957746478874, 0.7771739130434783, 0.39473684210526316, 0.5645161290322581]"
0,B0d,10,0.6635748314443607,0.7217133821004001,0.24965325936199723,0.44327801495735786,0.883834366791665,0.001,0.1,350,False,False,"[0.9884393063583815, 0.5526315789473685, 0.7602040816326531, 0.4473684210526316, 0.5692307692307692]"
0,B0d,11,0.612915095660332,0.7367089901518405,0.21875,0.4920598484365632,0.8958498028435431,0.01,3.0,50,False,False,"[0.9868073878627969, 0.5866666666666667, 0.851063829787234, 0.15789473684210525, 0.48214285714285715]"
0,B0d,12,0.6259820295983086,0.7070800406829665,0.25648021828103684,0.5017744890768147,0.8684778721047488,0.001,1.0,160,False,False,"[0.9829545454545454, 0.5, 0.786046511627907, 0.3409090909090909, 0.52]"
0,B0d,13,0.6083338232761091,0.6884302339409748,0.2868741542625169,0.5337764598331265,0.8497802943637685,0.01,0.0001,80,False,False,"[0.9726027397260274, 0.44871794871794873, 0.7632850241545893, 0.3225806451612903, 0.5344827586206896]"
0,B0d,14,0.643297162400564,0.7038438517417781,0.2646657571623465,0.47557575030593113,0.8728783216783217,0.001,0.01,230,False,False,"[0.9696969696969697, 0.5652173913043478, 0.7616580310880829, 0.40476190476190477, 0.5151515151515151]"
