seed,arm,family,frontier_base,axis,fold,recall_target,bacc,frontier_bacc,gap,exploratory
2,B1d,dinov2,B0d,tau,7,0.6363636363636364,0.6698840345853572,0.6867544130150781,-0.016870378429720945,탐색적/exploratory
2,B1d,dinov2,B0d,offset,7,0.6363636363636364,0.6698840345853572,0.6330518053058812,0.036832229279475937,탐색적/exploratory
2,B1d,dinov2,B0d,union,7,0.6363636363636364,0.6698840345853572,0.6867544130150781,-0.016870378429720945,탐색적/exploratory
2,B1d,dinov2,B0d,tau,8,0.5641025641025641,0.6480816213310752,0.6137071513214647,0.03437447000961047,탐색적/exploratory
2,B1d,dinov2,B0d,offset,8,0.5641025641025641,0.6480816213310752,0.638435679023739,0.009645942307336175,탐색적/exploratory
2,B1d,dinov2,B0d,union,8,0.5641025641025641,0.6480816213310752,0.638435679023739,0.009645942307336175,탐색적/exploratory
2,B1d,dinov2,B0d,tau,9,0.631578947368421,0.6680509707070287,0.6518394830841885,0.016211487622840193,탐색적/exploratory
2,B1d,dinov2,B0d,offset,9,0.631578947368421,0.6680509707070287,0.6316259405021308,0.036425030204897846,탐색적/exploratory
2,B1d,dinov2,B0d,union,9,0.631578947368421,0.6680509707070287,0.6518394830841885,0.016211487622840193,탐색적/exploratory
2,B1d,dinov2,B0d,tau,10,0.5789473684210527,0.6712103051887484,0.6589572021268314,0.012253103061916959,탐색적/exploratory
2,B1d,dinov2,B0d,offset,10,0.5789473684210527,0.6712103051887484,0.6215530377745164,0.04965726741423193,탐색적/exploratory
2,B1d,dinov2,B0d,union,10,0.5789473684210527,0.6712103051887484,0.6589572021268314,0.012253103061916959,탐색적/exploratory
2,B1d,dinov2,B0d,tau,11,0.6578947368421053,0.6997767643720539,0.6729134088238056,0.02686335554824837,탐색적/exploratory
2,B1d,dinov2,B0d,offset,11,0.6578947368421053,0.6997767643720539,0.6869630857303817,0.012813678641672266,탐색적/exploratory
2,B1d,dinov2,B0d,union,11,0.6578947368421053,0.6997767643720539,0.6869630857303817,0.012813678641672266,탐색적/exploratory
2,B1d,dinov2,B0d,tau,12,0.6136363636363636,0.6802108292224572,0.67960241954428,0.000608409678177213,탐색적/exploratory
2,B1d,dinov2,B0d,offset,12,0.6136363636363636,0.6802108292224572,0.6498688043222927,0.030342024900164577,탐색적/exploratory
2,B1d,dinov2,B0d,union,12,0.6136363636363636,0.6802108292224572,0.67960241954428,0.000608409678177213,탐색적/exploratory
2,B1d,dinov2,B0d,tau,13,0.5806451612903226,0.6728013388866259,0.6889646121566837,-0.016163273270057843,탐색적/exploratory
2,B1d,dinov2,B0d,offset,13,0.5806451612903226,0.6728013388866259,0.6258536307381395,0.04694770814848637,탐색적/exploratory
2,B1d,dinov2,B0d,union,13,0.5806451612903226,0.6728013388866259,0.6889646121566837,-0.016163273270057843,탐색적/exploratory
2,B1d,dinov2,B0d,tau,14,0.6428571428571429,0.684195228883836,0.675866224200206,0.00832900468362996,탐색적/exploratory
2,B1d,dinov2,B0d,offset,14,0.6428571428571429,0.684195228883836,0.6548416645100993,0.029353564373736707,탐색적/exploratory
2,B1d,dinov2,B0d,union,14,0.6428571428571429,0.684195228883836,0.675866224200206,0.00832900468362996,탐색적/exploratory
2,B0d_tau,dinov2,B0d,tau,0,0.7272727272727273,0.6861694441658094,0.6897178771554056,-0.003548432989596173,탐색적/exploratory
2,B0d_tau,dinov2,B0d,offset,0,0.7272727272727273,0.6861694441658094,0.669808161448325,0.016361282717484382,탐색적/exploratory
2,B0d_tau,dinov2,B0d,union,0,0.7272727272727273,0.6861694441658094,0.6897178771554056,-0.003548432989596173,탐색적/exploratory
2,B0d_tau,dinov2,B0d,tau,1,0.5882352941176471,0.6716619942453159,0.6729537012560189,-0.0012917070107030248,탐색적/exploratory
2,B0d_tau,dinov2,B0d,offset,1,0.5882352941176471,0.6716619942453159,0.648952159657848,0.022709834587467892,탐색적/exploratory
2,B0d_tau,dinov2,B0d,union,1,0.5882352941176471,0.6716619942453159,0.6729537012560189,-0.0012917070107030248,탐색적/exploratory
2,B0d_tau,dinov2,B0d,tau,2,0.6274509803921569,0.6844212173369757,0.7022706899340793,-0.017849472597103566,탐색적/exploratory
2,B0d_tau,dinov2,B0d,offset,2,0.6274509803921569,0.6844212173369757,0.6622781353011635,0.022143082035812167,탐색적/exploratory
2,B0d_tau,dinov2,B0d,union,2,0.6274509803921569,0.6844212173369757,0.7022706899340793,-0.017849472597103566,탐색적/exploratory
2,B0d_tau,dinov2,B0d,tau,3,0.5,0.6730727664947664,0.6813566685894907,-0.008283902094724294,탐색적/exploratory
2,B0d_tau,dinov2,B0d,offset,3,0.5,0.6730727664947664,0.6658145265384815,0.00725823995628494,탐색적/exploratory
2,B0d_tau,dinov2,B0d,union,3,0.5,0.6730727664947664,0.6813566685894907,-0.008283902094724294,탐색적/exploratory
2,B0d_tau,dinov2,B0d,tau,4,0.5384615384615384,0.6337201374071036,0.6457995119589903,-0.012079374551886679,탐색적/exploratory
2,B0d_tau,dinov2,B0d,offset,4,0.5384615384615384,0.6337201374071036,0.6449653494818701,-0.011245212074766475,탐색적/exploratory
2,B0d_tau,dinov2,B0d,union,4,0.5384615384615384,0.6337201374071036,0.6457995119589903,-0.012079374551886679,탐색적/exploratory
2,B0d_tau,dinov2,B0d,tau,5,0.37142857142857144,0.6503942385298318,0.6559210281244179,-0.005526789594586079,탐색적/exploratory
2,B0d_tau,dinov2,B0d,offset,5,0.37142857142857144,0.6503942385298318,0.6312510088781276,0.01914322965170423,탐색적/exploratory
2,B0d_tau,dinov2,B0d,union,5,0.37142857142857144,0.6503942385298318,0.6559210281244179,-0.005526789594586079,탐색적/exploratory
2,B0d_tau,dinov2,B0d,tau,6,0.8378378378378378,0.7147549397124948,0.7201959616221075,-0.005441021909612709,탐색적/exploratory
2,B0d_tau,dinov2,B0d,offset,6,0.8378378378378378,0.7147549397124948,0.700707999689324,0.014046940023170862,탐색적/exploratory
2,B0d_tau,dinov2,B0d,union,6,0.8378378378378378,0.7147549397124948,0.7201959616221075,-0.005441021909612709,탐색적/exploratory
2,B0d_tau,dinov2,B0d,tau,7,0.6590909090909091,0.6867544130150781,0.6867544130150781,0.0,탐색적/exploratory
2,B0d_tau,dinov2,B0d,offset,7,0.6590909090909091,0.6867544130150781,0.6330518053058812,0.05370260770919688,탐색적/exploratory
2,B0d_tau,dinov2,B0d,union,7,0.6590909090909091,0.6867544130150781,0.6867544130150781,0.0,탐색적/exploratory
2,B0d_tau,dinov2,B0d,tau,8,0.5641025641025641,0.6114549393629032,0.6137071513214647,-0.002252211958561512,탐색적/exploratory
2,B0d_tau,dinov2,B0d,offset,8,0.5641025641025641,0.6114549393629032,0.638435679023739,-0.026980739660835806,탐색적/exploratory
2,B0d_tau,dinov2,B0d,union,8,0.5641025641025641,0.6114549393629032,0.638435679023739,-0.026980739660835806,탐색적/exploratory
2,B0d_tau,dinov2,B0d,tau,9,0.6052631578947368,0.6514897183687924,0.6518394830841885,-0.00034976471539605036,탐색적/exploratory
2,B0d_tau,dinov2,B0d,offset,9,0.6052631578947368,0.6514897183687924,0.6397666996488861,0.01172301871990633,탐색적/exploratory
2,B0d_tau,dinov2,B0d,union,9,0.6052631578947368,0.6514897183687924,0.6518394830841885,-0.00034976471539605036,탐색적/exploratory
2,B0d_tau,dinov2,B0d,tau,10,0.5263157894736842,0.6645893365185815,0.6696913773349081,-0.005102040816326592,탐색적/exploratory
