dataset,fold,arm,label,recall
aptos2019,10,emb,4,0.5846153846153846
aptos2019,10,emb_ema,0,0.9624277456647399
aptos2019,10,emb_ema,1,0.6842105263157895
aptos2019,10,emb_ema,2,0.576530612244898
aptos2019,10,emb_ema,3,0.39473684210526316
aptos2019,10,emb_ema,4,0.6153846153846154
aptos2019,10,first2,0,0.9797687861271677
aptos2019,10,first2,1,0.6447368421052632
aptos2019,10,first2,2,0.6173469387755102
aptos2019,10,first2,3,0.3157894736842105
aptos2019,10,first2,4,0.6153846153846154
aptos2019,10,first2_ema,0,0.9797687861271677
aptos2019,10,first2_ema,1,0.6842105263157895
aptos2019,10,first2_ema,2,0.5969387755102041
aptos2019,10,first2_ema,3,0.34210526315789475
aptos2019,10,first2_ema,4,0.6
aptos2019,10,full_llrd,0,0.9855491329479769
aptos2019,10,full_llrd,1,0.5394736842105263
aptos2019,10,full_llrd,2,0.7704081632653061
aptos2019,10,full_llrd,3,0.23684210526315788
aptos2019,10,full_llrd,4,0.6307692307692307
aptos2019,10,full_llrd_ema,0,0.9855491329479769
aptos2019,10,full_llrd_ema,1,0.7631578947368421
aptos2019,10,full_llrd_ema,2,0.6122448979591837
aptos2019,10,full_llrd_ema,3,0.5
aptos2019,10,full_llrd_ema,4,0.6307692307692307
aptos2019,10,selected_surgical,0,0.9855491329479769
aptos2019,10,selected_surgical,1,0.5394736842105263
aptos2019,10,selected_surgical,2,0.7704081632653061
aptos2019,10,selected_surgical,3,0.23684210526315788
aptos2019,10,selected_surgical,4,0.6307692307692307
aptos2019,11,emb,0,0.9841688654353562
aptos2019,11,emb,1,0.72
aptos2019,11,emb,2,0.6648936170212766
aptos2019,11,emb,3,0.5789473684210527
aptos2019,11,emb,4,0.4107142857142857
aptos2019,11,emb_ema,0,0.9841688654353562
aptos2019,11,emb_ema,1,0.72
aptos2019,11,emb_ema,2,0.6648936170212766
aptos2019,11,emb_ema,3,0.5789473684210527
aptos2019,11,emb_ema,4,0.4107142857142857
aptos2019,11,first2,0,0.9841688654353562
aptos2019,11,first2,1,0.72
aptos2019,11,first2,2,0.6648936170212766
aptos2019,11,first2,3,0.5789473684210527
aptos2019,11,first2,4,0.4107142857142857
aptos2019,11,first2_ema,0,0.9841688654353562
aptos2019,11,first2_ema,1,0.6933333333333334
aptos2019,11,first2_ema,2,0.7127659574468085
aptos2019,11,first2_ema,3,0.5789473684210527
aptos2019,11,first2_ema,4,0.39285714285714285
aptos2019,11,full_llrd,0,0.9762532981530343
aptos2019,11,full_llrd,1,0.6666666666666666
aptos2019,11,full_llrd,2,0.7340425531914894
aptos2019,11,full_llrd,3,0.631578947368421
aptos2019,11,full_llrd,4,0.30357142857142855
aptos2019,11,full_llrd_ema,0,0.9868073878627969
aptos2019,11,full_llrd_ema,1,0.6666666666666666
aptos2019,11,full_llrd_ema,2,0.7606382978723404
aptos2019,11,full_llrd_ema,3,0.5526315789473685
aptos2019,11,full_llrd_ema,4,0.5535714285714286
aptos2019,11,selected_surgical,0,0.9762532981530343
aptos2019,11,selected_surgical,1,0.6666666666666666
aptos2019,11,selected_surgical,2,0.7340425531914894
aptos2019,11,selected_surgical,3,0.631578947368421
aptos2019,11,selected_surgical,4,0.30357142857142855
aptos2019,12,emb,0,0.96875
aptos2019,12,emb,1,0.75
aptos2019,12,emb,2,0.6790697674418604
aptos2019,12,emb,3,0.4090909090909091
aptos2019,12,emb,4,0.62
aptos2019,12,emb_ema,0,0.96875
aptos2019,12,emb_ema,1,0.75
aptos2019,12,emb_ema,2,0.6790697674418604
aptos2019,12,emb_ema,3,0.4090909090909091
aptos2019,12,emb_ema,4,0.62
aptos2019,12,first2,0,0.96875
aptos2019,12,first2,1,0.75
aptos2019,12,first2,2,0.6790697674418604
aptos2019,12,first2,3,0.4090909090909091
aptos2019,12,first2,4,0.62
aptos2019,12,first2_ema,0,0.9715909090909091
aptos2019,12,first2_ema,1,0.7222222222222222
aptos2019,12,first2_ema,2,0.6976744186046512
aptos2019,12,first2_ema,3,0.4318181818181818
aptos2019,12,first2_ema,4,0.64
aptos2019,12,full_llrd,0,0.9801136363636364
aptos2019,12,full_llrd,1,0.4444444444444444
aptos2019,12,full_llrd,2,0.7488372093023256
aptos2019,12,full_llrd,3,0.09090909090909091
aptos2019,12,full_llrd,4,0.76
aptos2019,12,full_llrd_ema,0,0.9772727272727273
aptos2019,12,full_llrd_ema,1,0.6944444444444444
aptos2019,12,full_llrd_ema,2,0.8
aptos2019,12,full_llrd_ema,3,0.36363636363636365
aptos2019,12,full_llrd_ema,4,0.72
aptos2019,12,selected_surgical,0,0.9801136363636364
aptos2019,12,selected_surgical,1,0.4444444444444444
aptos2019,12,selected_surgical,2,0.7488372093023256
aptos2019,12,selected_surgical,3,0.09090909090909091
aptos2019,12,selected_surgical,4,0.76
aptos2019,13,emb,0,0.9808219178082191
aptos2019,13,emb,1,0.8076923076923077
aptos2019,13,emb,2,0.5797101449275363
aptos2019,13,emb,3,0.5806451612903226
aptos2019,13,emb,4,0.5172413793103449
aptos2019,13,emb_ema,0,0.9835616438356164
