dataset,fold,arm,reference,disagreement,correctness_disagreement,sampling_sd_floor
aptos2019,3,full_llrd,frozen_lr,0.0,0.0,0.0
aptos2019,3,full_llrd,last2,0.0,0.0,0.0
aptos2019,3,full_llrd,full,0.0,0.0,0.0
aptos2019,3,full_llrd,selected_training,0.005509641873278237,0.004132231404958678,0.003000674325390622
aptos2019,3,full_llrd_ema,frozen_lr,0.08677685950413223,0.07300275482093664,0.017095315469169862
aptos2019,3,full_llrd_ema,last2,0.08677685950413223,0.07300275482093664,0.017095315469169862
aptos2019,3,full_llrd_ema,full,0.08677685950413223,0.07300275482093664,0.017095315469169862
aptos2019,3,full_llrd_ema,selected_training,0.08677685950413223,0.0743801652892562,0.016967655340519607
aptos2019,3,selected_surgical,frozen_lr,0.05509641873278237,0.045454545454545456,0.012993783370672623
aptos2019,3,selected_surgical,last2,0.05509641873278237,0.045454545454545456,0.012993783370672623
aptos2019,3,selected_surgical,full,0.05509641873278237,0.045454545454545456,0.012993783370672623
aptos2019,3,selected_surgical,selected_training,0.05922865013774105,0.049586776859504134,0.013274875459341905
aptos2019,4,emb,frozen_lr,0.08093278463648834,0.06584362139917696,0.016305209592861743
aptos2019,4,emb,last2,0.13443072702331962,0.1111111111111111,0.02212583662139663
aptos2019,4,emb,full,0.15912208504801098,0.13580246913580246,0.022341568995014032
aptos2019,4,emb,selected_training,0.10150891632373114,0.07956104252400549,0.018083432808651604
aptos2019,4,emb_ema,frozen_lr,0.03429355281207133,0.02880658436213992,0.009024847711737751
aptos2019,4,emb_ema,last2,0.12757201646090535,0.10699588477366255,0.022602709340470834
aptos2019,4,emb_ema,full,0.18381344307270234,0.15363511659807957,0.023541628792792098
aptos2019,4,emb_ema,selected_training,0.08093278463648834,0.0644718792866941,0.01563975834965548
aptos2019,4,first2,frozen_lr,0.06172839506172839,0.04252400548696845,0.01273924893953923
aptos2019,4,first2,last2,0.149519890260631,0.11796982167352538,0.023927525136174535
aptos2019,4,first2,full,0.1906721536351166,0.15912208504801098,0.022126514402324278
aptos2019,4,first2,selected_training,0.09465020576131687,0.07544581618655692,0.01854342278353444
aptos2019,4,first2_ema,frozen_lr,0.09327846364883402,0.06584362139917696,0.017177453232095265
aptos2019,4,first2_ema,last2,0.14814814814814814,0.12482853223593965,0.025570412575790017
aptos2019,4,first2_ema,full,0.17146776406035666,0.1412894375857339,0.02352352317650305
aptos2019,4,first2_ema,selected_training,0.1083676268861454,0.0877914951989026,0.02066219115802849
aptos2019,4,full_llrd,frozen_lr,0.13717421124828533,0.11385459533607682,0.022114904482952433
aptos2019,4,full_llrd,last2,0.149519890260631,0.12345679012345678,0.01940662890835693
aptos2019,4,full_llrd,full,0.2167352537722908,0.17832647462277093,0.023498973167473822
aptos2019,4,full_llrd,selected_training,0.13031550068587106,0.1083676268861454,0.019485982546202887
aptos2019,4,full_llrd_ema,frozen_lr,0.13854595336076816,0.11934156378600823,0.022285053219266993
aptos2019,4,full_llrd_ema,last2,0.1467764060356653,0.1262002743484225,0.022100046901025964
aptos2019,4,full_llrd_ema,full,0.13580246913580246,0.10973936899862825,0.021118693987460493
aptos2019,4,full_llrd_ema,selected_training,0.11659807956104253,0.09739368998628258,0.02274076282504139
