dataset,fold,arm,actual_arm,seed,bacc,epoch,lr,inner_bacc,n_train,n_test,predictions_sha256,ref_frozen_lr,ref_lora,ref_last2,ref_full,ref_selected_training,previous_bt
aptos2019,1,first2_ema,first2_ema,0,0.6955674518470979,0,1e-05,0.6689547693434071,2926,736,297532a89798104034bfa0bee5122536d508af7557de1ddb6e26fe9119f7d379,0.6955674518470979,0.7073409096856614,0.6874353199788801,0.6305376435574814,0.7073409096856614,lora
aptos2019,1,full_llrd,full_llrd,0,0.7540530303613393,4,0.0001,0.6837378480244393,2926,736,3536492d594fab5fed6631ce28d2a52a20f6a14baa42ffbb63919179a3c28bad,0.6955674518470979,0.7073409096856614,0.6874353199788801,0.6305376435574814,0.7073409096856614,lora
aptos2019,1,full_llrd_ema,full_llrd_ema,0,0.7606660974769764,4,0.0001,0.698483631027472,2926,736,15cdb0fd0ba795e7c1f579819a069d8c2190ba5d05da25a9496045a36779c369,0.6955674518470979,0.7073409096856614,0.6874353199788801,0.6305376435574814,0.7073409096856614,lora
aptos2019,1,selected_surgical,full_llrd,0,0.7540530303613393,4,0.0001,0.6837378480244393,2926,736,3536492d594fab5fed6631ce28d2a52a20f6a14baa42ffbb63919179a3c28bad,0.6955674518470979,0.7073409096856614,0.6874353199788801,0.6305376435574814,0.7073409096856614,lora
aptos2019,2,emb,emb,0,0.6828365284570863,0,1e-05,0.6790035031680469,2921,741,6a035b1b5b53d16c11fee5794d0e5fd929f245a637b1359a2046dad7ca3ec08b,0.6828365284570863,0.6770142786359373,0.6828365284570863,0.6828365284570863,0.6770142786359373,lora
aptos2019,2,emb_ema,emb_ema,0,0.6740949155251504,3,0.0001,0.6809227066418325,2921,741,6f0f813dc7c0095fcd7e4c4851b8e51eda3eb607a8c5f6a157346da8eacfe41c,0.6828365284570863,0.6770142786359373,0.6828365284570863,0.6828365284570863,0.6770142786359373,lora
aptos2019,2,first2,first2,0,0.6828365284570863,0,1e-05,0.6790035031680469,2921,741,6a035b1b5b53d16c11fee5794d0e5fd929f245a637b1359a2046dad7ca3ec08b,0.6828365284570863,0.6770142786359373,0.6828365284570863,0.6828365284570863,0.6770142786359373,lora
aptos2019,2,first2_ema,first2_ema,0,0.6828365284570863,0,1e-05,0.6790035031680469,2921,741,6a035b1b5b53d16c11fee5794d0e5fd929f245a637b1359a2046dad7ca3ec08b,0.6828365284570863,0.6770142786359373,0.6828365284570863,0.6828365284570863,0.6770142786359373,lora
aptos2019,2,full_llrd,full_llrd,0,0.6892980227878733,18,0.0001,0.6832403942354492,2921,741,0d608d3e80843f8107a07e71f7595c084929548cac4ce7adfb90ccc9ee1ed128,0.6828365284570863,0.6770142786359373,0.6828365284570863,0.6828365284570863,0.6770142786359373,lora
aptos2019,2,full_llrd_ema,full_llrd_ema,0,0.7152491906480071,8,0.0001,0.6949912319479882,2921,741,dbe1beb4e7fc8d2ddd1e39fae0a88b9740c617b71ba0ecc4d300f454a4a4df5b,0.6828365284570863,0.6770142786359373,0.6828365284570863,0.6828365284570863,0.6770142786359373,lora
aptos2019,2,selected_surgical,full_llrd,0,0.6892980227878733,18,0.0001,0.6832403942354492,2921,741,0d608d3e80843f8107a07e71f7595c084929548cac4ce7adfb90ccc9ee1ed128,0.6828365284570863,0.6770142786359373,0.6828365284570863,0.6828365284570863,0.6770142786359373,lora
aptos2019,3,emb,emb,0,0.6963652334479491,0,1e-05,0.6803557600507973,2936,726,84c5134cde6e2aaee8eaeb77cdd36dee802d4b6df79703436f160b37767f4fd6,0.6963652334479491,0.6969025715576211,0.6963652334479491,0.6963652334479491,0.6969025715576211,lora
aptos2019,3,emb_ema,emb_ema,0,0.6963652334479491,0,1e-05,0.6803557600507973,2936,726,84c5134cde6e2aaee8eaeb77cdd36dee802d4b6df79703436f160b37767f4fd6,0.6963652334479491,0.6969025715576211,0.6963652334479491,0.6963652334479491,0.6969025715576211,lora
