condition,seed,arm,fold,bacc,mcc,macro_mae,lr,wd,epoch,per_class_recall
seed,4,B1d,12,0.6615802860938783,0.6720278322331772,0.28825136612021857,0.001,10.0,50,"[0.9722991689750693, 0.6486486486486487, 0.575, 0.5526315789473685, 0.559322033898305]"
seed,4,B1d,13,0.6592273676089347,0.6818009957286666,0.29508196721311475,0.01,10.0,290,"[0.9722991689750693, 0.7297297297297297, 0.595, 0.47368421052631576, 0.5254237288135594]"
seed,4,B1d,14,0.659498047056573,0.6603292434429021,0.3046448087431694,0.01,10.0,20,"[0.96398891966759, 0.6216216216216216, 0.5628140703517588, 0.5897435897435898, 0.559322033898305]"
group,0,B0,0,0.6732100875168225,0.742880596620295,0.23529411764705882,0.01,0.01,40,"[0.9745762711864406, 0.6056338028169014, 0.8151658767772512, 0.45454545454545453, 0.5161290322580645]"
group,0,B0,1,0.6448199245980936,0.7216273899831679,0.24010914051841747,0.001,1.0,370,"[0.98, 0.6197183098591549, 0.8131313131313131, 0.28, 0.53125]"
group,0,B0,2,0.6257106933668093,0.7204474848026579,0.24217687074829933,0.01,10.0,320,"[0.9839142091152815, 0.64, 0.7978723404255319, 0.2857142857142857, 0.42105263157894735]"
group,0,B0,3,0.6140137751680026,0.6975513446094612,0.27111716621253407,0.01,0.0001,40,"[0.9830985915492958, 0.550561797752809, 0.7789473684210526, 0.28205128205128205, 0.47540983606557374]"
group,0,B0,4,0.6373339783252482,0.7439209763065449,0.21262002743484226,0.01,10.0,350,"[0.9812332439678284, 0.4375, 0.8443396226415094, 0.41379310344827586, 0.5098039215686274]"
group,0,B0,5,0.6708095854206484,0.7518398046595713,0.21138211382113822,0.01,10.0,300,"[0.9863013698630136, 0.6329113924050633, 0.82, 0.35714285714285715, 0.5576923076923077]"
group,0,B0,6,0.6247800744195031,0.724249782854886,0.23868312757201646,0.001,1.0,290,"[0.9859943977591037, 0.53125, 0.8275862068965517, 0.27906976744186046, 0.5]"
group,0,B0,7,0.6486992948633239,0.755179025475287,0.23045267489711935,0.01,10.0,360,"[0.9861111111111112, 0.5333333333333333, 0.8743718592964824, 0.35714285714285715, 0.4925373134328358]"
group,0,B0,8,0.6418819997325349,0.7239339704026233,0.23874488403819918,0.01,10.0,340,"[0.9754768392370572, 0.569620253164557, 0.8296703296703297, 0.34210526315789475, 0.4925373134328358]"
group,0,B0,9,0.6477110021257516,0.7188897488730315,0.24283765347885403,0.01,0.1,60,"[0.9831460674157303, 0.6575342465753424, 0.7488372093023256, 0.38095238095238093, 0.46808510638297873]"
