arm,base_arm,dataset,fold,lr,wd,epoch,score,n_inner_valid,inner_best,inner_epoch,n_tied,grid_edge_lr,grid_edge_wd,grid_edge_epoch
A0d_sel,A0d,oral_diseases,4,0.001,10.0,180,0.6452741449095688,3,"[0.67722049689441, 0.6618100752006487, 0.5967918626336476]","[390, 20, 180]",1,False,True,False
A0d_sel,A0d,oral_diseases,5,0.001,10.0,30,0.6548170100248827,3,"[0.6831953572743047, 0.6550234957189845, 0.6262321770813589]","[30, 170, 20]",1,False,True,False
A0d_sel,A0d,oral_diseases,6,0.01,1.0,90,0.690282285791359,3,"[0.6237631416202845, 0.7596544783245551, 0.6874292374292373]","[30, 110, 90]",1,True,False,False
A0d_sel,A0d,oral_diseases,7,0.01,10.0,40,0.6792717840666999,3,"[0.7154710368996083, 0.6467038989508848, 0.6756404163496063]","[40, 20, 130]",1,True,True,False
A0d_sel,A0d,oral_diseases,8,0.001,3.0,340,0.6802234579405448,3,"[0.6885642788583964, 0.6990259740259741, 0.6530801209372639]","[350, 340, 180]",1,False,False,False
A0d_sel,A0d,oral_diseases,9,0.001,10.0,70,0.6742468216749667,3,"[0.684486341545165, 0.7163953799823365, 0.621858743497399]","[70, 100, 40]",1,False,True,False
A0d_sel,A0d,oral_diseases,10,0.001,10.0,80,0.6620854228405716,3,"[0.6091841687788077, 0.7288615111596478, 0.6482105885832594]","[80, 100, 30]",1,False,True,False
A0d_sel,A0d,oral_diseases,11,0.01,10.0,20,0.713291483612888,3,"[0.7392307939975282, 0.6943159486016628, 0.706327708239473]","[20, 20, 50]",1,True,True,False
A0d_sel,A0d,oral_diseases,12,0.001,10.0,70,0.6698519860406353,3,"[0.6235989257363023, 0.6566326530612244, 0.7293243793243793]","[40, 80, 70]",1,False,True,False
A0d_sel,A0d,oral_diseases,13,0.01,10.0,30,0.688113512488789,3,"[0.635869732508388, 0.7175922933275874, 0.7108785116303913]","[20, 30, 30]",1,True,True,False
A0d_sel,A0d,oral_diseases,14,0.01,3.0,30,0.6658910005562928,3,"[0.6570660522273426, 0.6552299308878257, 0.6853770185537102]","[30, 20, 50]",1,True,False,False
A2d_sel,A2d,oral_diseases,0,0.001,0.1,60,0.6609535392144087,3,"[0.6438754895897753, 0.6920286063143205, 0.6469565217391304]","[30, 400, 60]",3,False,False,False
A2d_sel,A2d,oral_diseases,1,0.01,10.0,30,0.7115286474268169,3,"[0.708974358974359, 0.6619565217391303, 0.7636550615669611]","[30, 30, 20]",1,True,True,False
A2d_sel,A2d,oral_diseases,2,0.01,10.0,50,0.6512144744562886,3,"[0.6361407639979069, 0.6437137498677633, 0.6737889095031953]","[30, 50, 280]",1,True,True,False
A2d_sel,A2d,oral_diseases,3,0.001,10.0,70,0.678480400501325,3,"[0.6898897990021081, 0.6631551781551782, 0.6823962243466887]","[40, 70, 90]",1,False,True,False
A2d_sel,A2d,oral_diseases,4,0.001,10.0,30,0.6592741475682778,3,"[0.7018633540372671, 0.6766873304505748, 0.5992717582169914]","[160, 20, 30]",1,False,True,False
A2d_sel,A2d,oral_diseases,5,0.001,10.0,60,0.6570492772007588,3,"[0.695732951259267, 0.6312139719094606, 0.6442009084335487]","[60, 110, 20]",1,False,True,False
A2d_sel,A2d,oral_diseases,6,0.01,10.0,30,0.6916981234291854,3,"[0.6283433828076685, 0.7683266340555343, 0.6784243534243535]","[20, 30, 140]",1,True,True,False
A2d_sel,A2d,oral_diseases,7,0.01,3.0,50,0.6815163182440069,3,"[0.7291074005359718, 0.6449031786627695, 0.6705383755332798]","[110, 20, 50]",1,True,False,False
A2d_sel,A2d,oral_diseases,8,0.01,10.0,10,0.6921129573300441,3,"[0.6986375389316565, 0.7161556036556036, 0.6615457294028723]","[30, 10, 10]",1,True,True,False
A2d_sel,A2d,oral_diseases,9,0.001,10.0,90,0.6888859163700839,3,"[0.681417558476382, 0.746914860501817, 0.6383253301320527]","[90, 30, 140]",1,False,True,False
A2d_sel,A2d,oral_diseases,10,0.001,1.0,70,0.6654260914705504,3,"[0.6091174435241123, 0.7338482014879532, 0.653312629399586]","[290, 70, 30]",1,False,False,False
A2d_sel,A2d,oral_diseases,11,0.01,10.0,20,0.7152817156031199,3,"[0.7337362885030227, 0.6947921390778532, 0.717316719228484]","[20, 20, 20]",1,True,True,False
A2d_sel,A2d,oral_diseases,12,0.001,10.0,90,0.6760762706262645,3,"[0.6473084095298197, 0.6689952904238617, 0.7119251119251119]","[40, 90, 180]",1,False,True,False
A2d_sel,A2d,oral_diseases,13,0.01,3.0,60,0.6881799827306977,3,"[0.6431649582910087, 0.7250295642323507, 0.6963454256687339]","[60, 20, 60]",1,True,False,False
A2d_sel,A2d,oral_diseases,14,0.001,10.0,50,0.6726178012347064,3,"[0.6458653353814644, 0.6569254575833524, 0.7150626107393024]","[40, 210, 50]",1,False,True,False
B0_sel,B0,aptos2019,0,0.001,1.0,260,0.6434339913688759,3,"[0.6580668302665735, 0.6373186358746524, 0.6349165079654017]","[330, 130, 260]",1,False,False,False
B0_sel,B0,aptos2019,1,0.01,1.0,200,0.6501663069725213,3,"[0.6515782230259534, 0.6400290301870397, 0.658891667704571]","[200, 330, 70]",1,True,False,False
B0_sel,B0,aptos2019,2,0.01,3.0,120,0.640481371085053,3,"[0.6584957074817499, 0.6437197137519878, 0.6192286920214214]","[120, 40, 390]",1,True,False,False
B0_sel,B0,aptos2019,3,0.001,1.0,250,0.6486056827167639,3,"[0.676724718577983, 0.6200971870384191, 0.6489951425338896]","[140, 300, 250]",1,False,False,False
B0_sel,B0,aptos2019,4,0.01,0.01,50,0.6514832490715619,3,"[0.6716504755229297, 0.63257357963934, 0.6502256920524159]","[50, 250, 50]",2,True,False,False
B0_sel,B0,aptos2019,5,0.01,10.0,330,0.6532507996603742,3,"[0.6346100198796101, 0.6674605056889563, 0.6576818734125562]","[270, 400, 330]",1,True,True,False
B0_sel,B0,aptos2019,6,0.01,1.0,30,0.6532196124330898,3,"[0.6362266006650577, 0.6536377752833102, 0.6697944613509015]","[100, 30, 30]",1,True,False,False
B0_sel,B0,aptos2019,7,0.01,3.0,50,0.6550040675002184,3,"[0.6744460475793519, 0.6488016362627758, 0.6417645186585277]","[30, 50, 340]",1,True,False,False
B0_sel,B0,aptos2019,8,0.01,10.0,360,0.6500376357886503,3,"[0.6701018602967576, 0.6206663486678745, 0.6593446984013185]","[320, 370, 360]",1,True,True,False
B0_sel,B0,aptos2019,9,0.01,10.0,350,0.6633188483427441,3,"[0.6803322235924977, 0.6657402806399293, 0.6438840407958055]","[380, 270, 350]",1,True,True,False
B0_sel,B0,aptos2019,10,0.01,10.0,280,0.6449777767319836,3,"[0.6628059975088946, 0.6466255564180107, 0.6255017762690456]","[260, 360, 280]",1,True,True,False
B0_sel,B0,aptos2019,11,0.01,3.0,50,0.6566109034131015,3,"[0.6865405684376711, 0.6650064243931619, 0.6182857174084713]","[40, 50, 250]",1,True,False,False
B0_sel,B0,aptos2019,12,0.001,0.1,300,0.6651158726454242,3,"[0.6567218424070914, 0.66268172919035, 0.6759440463388312]","[300, 390, 250]",1,False,False,False
B0_sel,B0,aptos2019,13,0.001,0.01,250,0.6628370192764573,3,"[0.699466703895016, 0.6450152005185854, 0.6440291534157705]","[250, 250, 120]",2,False,False,False
B0_sel,B0,aptos2019,14,0.01,10.0,290,0.6432480916236342,3,"[0.6410687270548778, 0.6358555136187384, 0.6528200341972862]","[260, 300, 290]",1,True,True,False
B1_sel,B1,aptos2019,0,0.01,10.0,350,0.6866865299535047,3,"[0.6795972055895505, 0.6952590985931234, 0.6852032856778398]","[120, 370, 350]",1,True,True,False
