arm,base_arm,recipe,dataset,fold,bacc,mcc,macro_mae,per_class_recall,n_train,n_test,lr,wd,epoch,train_ce_best,train_ce_best_epoch,train_loss_final,grad_norm_final,w_norm,count_mode,seconds
A0_sel,A0,sel,oral_diseases,13,0.8085692085692084,0.7840633690999628,0.27184466019417475,"[0.9333333333333333, 0.9333333333333333, 0.8461538461538461, 0.7777777777777778, 0.5454545454545454, 0.7777777777777778, 0.8461538461538461]",413,103,0.001,1.0,30,0.41015225648880005,30,0.41015225648880005,0.39748647809028625,1.9384902715682983,train,13.041206359863281
A0_sel,A0,sel,oral_diseases,14,0.7659678041256989,0.7265388664984147,0.42718446601941745,"[0.875, 1.0, 0.6666666666666666, 0.6666666666666666, 0.7, 0.6842105263157895, 0.7692307692307693]",413,103,0.001,10.0,80,0.23331382870674133,80,0.23331382870674133,0.2496490627527237,1.7541029453277588,train,13.191168069839478
A1_200,A1,200,oral_diseases,0,0.7031429827482459,0.6753353477656967,0.4807692307692308,"[0.9375, 1.0, 0.5, 0.6111111111111112, 0.5454545454545454, 0.7894736842105263, 0.5384615384615384]",2060,104,0.01,0.0001,200,0.003990739583969116,200,0.003990739583969116,0.002927298191934824,8.39206600189209,train,0.29154253005981445
A1_200,A1,200,oral_diseases,1,0.7644945697577278,0.6963930755049195,0.4368932038834951,"[1.0, 0.9333333333333333, 0.75, 0.4444444444444444, 1.0, 0.47368421052631576, 0.75]",2065,103,0.01,0.0001,200,0.004855763632804155,200,0.004855763632804155,0.003237199503928423,8.508484840393066,train,0.2362351417541504
A1_200,A1,200,oral_diseases,2,0.6589485076327181,0.6241892002730716,0.5631067961165048,"[0.875, 1.0, 0.6666666666666666, 0.6666666666666666, 0.2727272727272727, 0.631578947368421, 0.5]",2065,103,0.01,0.0001,200,0.006362161133438349,200,0.006362161133438349,0.0035795997828245163,8.728702545166016,train,0.20906448364257812
A1_200,A1,200,oral_diseases,3,0.7664113664113665,0.7183395154482595,0.3883495145631068,"[0.8666666666666667, 0.9333333333333333, 0.6923076923076923, 0.5555555555555556, 0.7272727272727273, 0.6666666666666666, 0.9230769230769231]",2065,103,0.01,0.0001,200,0.0064947702921926975,200,0.0064947702921926975,0.003642875934019685,8.670919418334961,train,0.22498059272766113
A1_200,A1,200,oral_diseases,4,0.7556294582610371,0.7153454559790136,0.4854368932038835,"[0.75, 1.0, 0.6666666666666666, 0.6666666666666666, 0.7, 0.7368421052631579, 0.7692307692307693]",2065,103,0.01,0.0001,200,0.006597384810447693,200,0.006597384810447693,0.0036566685885190964,8.734109878540039,train,0.19694209098815918
A1_200,A1,200,oral_diseases,5,0.7718132744448534,0.7303517840057795,0.375,"[1.0, 0.9333333333333333, 0.75, 0.5, 0.6363636363636364, 0.7368421052631579, 0.8461538461538461]",2060,104,0.01,0.0001,200,0.004544893745332956,200,0.004544893745332956,0.0031327316537499428,8.638266563415527,train,0.19398069381713867
A1_200,A1,200,oral_diseases,6,0.779066985645933,0.7618822168173102,0.36893203883495146,"[0.875, 0.9333333333333333, 0.6666666666666666, 0.8333333333333334, 0.6363636363636364, 0.8421052631578947, 0.6666666666666666]",2065,103,0.01,0.0001,200,0.0054566748440265656,200,0.0054566748440265656,0.0034509373363107443,8.781757354736328,train,0.18769478797912598
A1_200,A1,200,oral_diseases,7,0.6946960203539151,0.6468488122447701,0.5436893203883495,"[0.8125, 1.0, 0.5, 0.5555555555555556, 0.7272727272727273, 0.6842105263157895, 0.5833333333333334]",2065,103,0.01,0.0001,200,0.005889169406145811,200,0.005889169406145811,0.0034413125831633806,8.565312385559082,train,0.20080018043518066
A1_200,A1,200,oral_diseases,8,0.7953934953934952,0.7509388298961804,0.5145631067961165,"[0.9333333333333333, 1.0, 0.6923076923076923, 0.7222222222222222, 0.8181818181818182, 0.5555555555555556, 0.8461538461538461]",2065,103,0.01,0.0001,200,0.0054977331310510635,200,0.0054977331310510635,0.0032983969431370497,8.606940269470215,train,0.20585966110229492
A1_200,A1,200,oral_diseases,9,0.7065452091767881,0.6596059416186915,0.5436893203883495,"[0.75, 1.0, 0.6666666666666666, 0.5, 0.6, 0.7368421052631579, 0.6923076923076923]",2065,103,0.01,0.0001,200,0.006480649579316378,200,0.006480649579316378,0.0036335792392492294,8.638351440429688,train,0.19798541069030762
A1_200,A1,200,oral_diseases,10,0.7770413066465698,0.7314534310918418,0.36538461538461536,"[0.9375, 1.0, 0.75, 0.3888888888888889, 0.7272727272727273, 0.7894736842105263, 0.8461538461538461]",2060,104,0.01,0.0001,200,0.005296819377690554,200,0.005296819377690554,0.0033944614697247744,8.708571434020996,train,0.18725895881652832
