dataset,arm,wave,fold,bacc_regen,bacc_archived,abs_diff,match
oral_diseases,A4,w1,7,0.6796584263689526,0.6796584263689526,0.0,True
oral_diseases,A4,w1,8,0.7953934953934952,0.7953934953934952,0.0,True
oral_diseases,A4,w1,9,0.6990264121843069,0.6990264121843069,0.0,True
oral_diseases,A4,w1,10,0.7640542936595568,0.7640542936595568,0.0,True
oral_diseases,A4,w1,11,0.6916894508999772,0.6916894508999772,0.0,True
oral_diseases,A4,w1,12,0.7538685729475203,0.7538685729475203,0.0,True
oral_diseases,A4,w1,13,0.7013653013653014,0.7013653013653014,0.0,True
oral_diseases,A4,w1,14,0.7471258273889854,0.7471258273889854,0.0,True
oral_diseases,A5,w2,0,0.6693156258945733,0.6693156258945733,0.0,True
oral_diseases,A5,w2,1,0.6792160325055062,0.6792160325055062,0.0,True
oral_diseases,A5,w2,2,0.6393265360370624,0.6393265360370624,0.0,True
oral_diseases,A5,w2,3,0.7134088134088135,0.7134088134088135,0.0,True
oral_diseases,A5,w2,4,0.6990055266371057,0.6990055266371057,0.0,True
oral_diseases,A5,w2,5,0.7568630200209148,0.7568630200209148,0.0,True
oral_diseases,A5,w2,6,0.7229275841117947,0.7229275841117947,0.0,True
oral_diseases,A5,w2,7,0.7048568390673653,0.7048568390673653,0.0,True
oral_diseases,A5,w2,8,0.6894882894882893,0.6894882894882893,0.0,True
oral_diseases,A5,w2,9,0.6989500996079945,0.6989500996079945,0.0,True
oral_diseases,A5,w2,10,0.7666226317542106,0.7666226317542106,0.0,True
oral_diseases,A5,w2,11,0.6826944254575834,0.6826944254575834,0.0,True
oral_diseases,A5,w2,12,0.7204687856003645,0.7204687856003645,0.0,True
oral_diseases,A5,w2,13,0.6897213897213899,0.6897213897213899,0.0,True
oral_diseases,A5,w2,14,0.7738866396761133,0.7738866396761133,0.0,True
oral_diseases,A5s,w2,0,0.6248464985307091,0.6248464985307091,0.0,True
oral_diseases,A5s,w2,1,0.7758221310852891,0.7758221310852891,0.0,True
oral_diseases,A5s,w2,2,0.6986310473152579,0.6986310473152579,0.0,True
oral_diseases,A5s,w2,3,0.7503718503718504,0.7503718503718504,0.0,True
oral_diseases,A5s,w2,4,0.7520580296896086,0.7520580296896086,0.0,True
oral_diseases,A5s,w2,5,0.7525672426988216,0.7525672426988216,0.0,True
oral_diseases,A5s,w2,6,0.801658502316397,0.801658502316397,0.0,True
oral_diseases,A5s,w2,7,0.7676245538087644,0.7676245538087644,0.0,True
oral_diseases,A5s,w2,8,0.7774003774003775,0.7774003774003775,0.0,True
oral_diseases,A5s,w2,9,0.7033151789730737,0.7033151789730737,0.0,True
oral_diseases,A5s,w2,10,0.7401783158362105,0.7401783158362105,0.0,True
oral_diseases,A5s,w2,11,0.6774065846434267,0.6774065846434267,0.0,True
oral_diseases,A5s,w2,12,0.7475222146274777,0.7475222146274777,0.0,True
oral_diseases,A5s,w2,13,0.7217560217560217,0.7217560217560217,0.0,True
oral_diseases,A5s,w2,14,0.7838876036244457,0.7838876036244457,0.0,True
oral_diseases,A0d,w2,0,0.7054436061015009,0.7054436061015009,0.0,True
oral_diseases,A0d,w2,1,0.6660068732437152,0.6660068732437152,0.0,True
oral_diseases,A0d,w2,2,0.7229968861547809,0.7229968861547809,0.0,True
oral_diseases,A0d,w2,3,0.6896769896769898,0.6896769896769898,0.0,True
oral_diseases,A0d,w2,4,0.6864043120622069,0.6864043120622069,0.0,True
oral_diseases,A0d,w2,5,0.7056765602818235,0.7056765602818235,0.0,True
oral_diseases,A0d,w2,6,0.7241000227842332,0.7241000227842332,0.0,True
oral_diseases,A0d,w2,7,0.6778907496012759,0.6778907496012759,0.0,True
oral_diseases,A0d,w2,8,0.6915972915972916,0.6915972915972916,0.0,True
oral_diseases,A0d,w2,9,0.7476166377482166,0.7476166377482166,0.0,True
