axis,param,bacc,recall_target,fold,frontier_base,family,pareto_union,marked_tau,dataset,exploratory
tau,0.4,0.6707373572925006,0.42105263157894735,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.45,0.6750005151872375,0.4473684210526316,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.5,0.6802636730819744,0.47368421052631576,3,B0,panderm,False,True,aptos2019,탐색적/exploratory
tau,0.55,0.686229533679414,0.5,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.6,0.6889322363821166,0.5,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.65,0.6948980969795561,0.5263157894736842,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.7,0.6952879274880308,0.5263157894736842,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.75,0.7005510853827677,0.5526315789473685,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.8,0.7058142432775044,0.5789473684210527,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.85,0.7038142432775045,0.5789473684210527,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.9,0.7119132150602173,0.6052631578947368,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,0.95,0.71361591776292,0.6052631578947368,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.0,0.7160057482713945,0.6052631578947368,3,B0,panderm,False,True,aptos2019,탐색적/exploratory
tau,1.05,0.7144517316508959,0.6052631578947368,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.1,0.7211047200541074,0.631578947368421,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.15,0.7223678779488443,0.6578947368421053,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.2,0.7247577084573188,0.6578947368421053,3,B0,panderm,True,False,aptos2019,탐색적/exploratory
tau,1.25,0.7247577084573188,0.6578947368421053,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.3,0.7227577084573188,0.6578947368421053,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.35,0.7168138613283456,0.6578947368421053,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.4,0.7113159975788739,0.6578947368421053,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.45,0.7070592782556725,0.6578947368421053,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.5,0.7030592782556725,0.6578947368421053,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.55,0.7005052616351739,0.6578947368421053,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.6,0.6975052616351739,0.6578947368421053,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.65,0.6959512450146752,0.6578947368421053,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.7,0.7026042334178866,0.6842105263157895,3,B0,panderm,True,False,aptos2019,탐색적/exploratory
tau,1.75,0.6956603862889135,0.6842105263157895,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.8,0.6926603862889135,0.6842105263157895,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.85,0.6963695275631517,0.7105263157894737,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,1.9,0.7002209163480584,0.7105263157894737,3,B0,panderm,True,False,aptos2019,탐색적/exploratory
tau,1.95,0.6982209163480585,0.7105263157894737,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.0,0.6912770692190853,0.7105263157894737,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.05,0.6912770692190853,0.7105263157894737,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.1,0.6902770692190853,0.7105263157894737,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
tau,2.15,0.6945402271138221,0.7368421052631579,3,B0,panderm,True,False,aptos2019,탐색적/exploratory
tau,2.2,0.6904321938728248,0.7368421052631579,3,B0,panderm,False,False,aptos2019,탐색적/exploratory
