bacc,mcc,macro_mae,classmean_mae,per_class_recall,arm,dataset,fold,alpha,epochs
0.6297385138895379,0.6619996035091368,0.28688524590163933,0.4893569041954521,"[0.9861495844875346, 0.5945945945945946, 0.5879396984924623, 0.6410256410256411, 0.3389830508474576]",B6s05,aptos2019,9,0.5,500
0.6888965138053358,0.722114423554305,0.2305593451568895,0.4025876235262592,"[0.9778393351800554, 0.7972972972972973, 0.665, 0.5128205128205128, 0.4915254237288136]",B6s05,aptos2019,10,0.5,500
0.57157417819355,0.725158353370166,0.23601637107776263,0.5464138367240391,"[0.9806094182825484, 0.3783783783783784, 0.93, 0.1282051282051282, 0.4406779661016949]",B6s05,aptos2019,11,0.5,500
0.5601527428644666,0.7115947482584565,0.25136612021857924,0.5695599882242917,"[0.9833795013850416, 0.47297297297297297, 0.885, 0.05263157894736842, 0.4067796610169492]",B6s05,aptos2019,12,0.5,500
0.5625333621804349,0.7211216232245051,0.24043715846994534,0.5568850612197248,"[0.9861495844875346, 0.3918918918918919, 0.915, 0.07894736842105263, 0.4406779661016949]",B6s05,aptos2019,13,0.5,500
0.6152445561761968,0.7162403834527872,0.25,0.5196754365071891,"[0.9529085872576177, 0.581081081081081, 0.8542713567839196, 0.1794871794871795, 0.5084745762711864]",B6s05,aptos2019,14,0.5,500
0.6921060342143022,0.7622819381206788,0.2019099590723056,0.39359384511006656,"[0.9861495844875346, 0.6756756756756757, 0.82, 0.48717948717948717, 0.4915254237288136]",B6s10,aptos2019,0,1.0,500
0.5989345737912337,0.7188559570909792,0.2551159618008186,0.5281201879701339,"[0.9806094182825484, 0.5, 0.86, 0.1794871794871795, 0.4745762711864407]",B6s10,aptos2019,1,1.0,500
0.6197515122521929,0.7323004085046974,0.23224043715846995,0.4863435029940499,"[0.9750692520775623, 0.5540540540540541, 0.86, 0.18421052631578946, 0.5254237288135594]",B6s10,aptos2019,2,1.0,500
0.6363384158373125,0.6974691127488685,0.2568306010928962,0.4693402012275668,"[0.9750692520775623, 0.6081081081081081, 0.735, 0.47368421052631576, 0.3898305084745763]",B6s10,aptos2019,3,1.0,500
0.5923991451930928,0.7148495504163368,0.24453551912568305,0.5271773423162794,"[0.9889196675900277, 0.4189189189189189, 0.8492462311557789, 0.1794871794871795, 0.5254237288135594]",B6s10,aptos2019,4,1.0,500
0.6468848216514773,0.7255046997808948,0.2305593451568895,0.44918938815154597,"[0.9916897506925207, 0.6081081081081081, 0.775, 0.4358974358974359, 0.423728813559322]",B6s10,aptos2019,5,1.0,500
0.6447052103767443,0.6977777374272828,0.25375170532060026,0.44150676561489277,"[0.9778393351800554, 0.6621621621621622, 0.69, 0.4358974358974359, 0.4576271186440678]",B6s10,aptos2019,6,1.0,500
0.6099751504638589,0.7228181460854332,0.25546448087431695,0.5417896107290915,"[0.9833795013850416, 0.527027027027027, 0.845, 0.23684210526315788, 0.4576271186440678]",B6s10,aptos2019,7,1.0,500
0.6610081617840199,0.6881490272204013,0.2691256830601093,0.4445245418196261,"[0.9722991689750693, 0.7162162162162162, 0.625, 0.5, 0.4915254237288136]",B6s10,aptos2019,8,1.0,500
0.5713082855728804,0.6858680495605332,0.2773224043715847,0.5728629916225484,"[0.9833795013850416, 0.5405405405405406, 0.7889447236180904, 0.15384615384615385, 0.3898305084745763]",B6s10,aptos2019,9,1.0,500
0.6531979294770036,0.7496397926955447,0.20600272851296045,0.42872688582069307,"[0.9833795013850416, 0.6351351351351351, 0.84, 0.28205128205128205, 0.5254237288135594]",B6s10,aptos2019,10,1.0,500
