bacc,mcc,macro_mae,per_class_recall,n_train,n_test,fold,arm,dataset,backbone,lever,loss,repeat,fold_in_repeat,splitter,count_mode
0.6808594464806885,0.6704473622094178,0.28005464480874315,"[0.9362880886426593, 0.6216216216216216, 0.6030150753768844, 0.717948717948718, 0.5254237288135594]",2930,732,4,B3,aptos2019,panderm,rebalance,coral,0,4,"StratifiedGroupKFold(5,shuffle,rs=0)",pool
0.6592936640787243,0.6645174380766666,0.2755798090040928,"[0.9529085872576177, 0.6351351351351351, 0.585, 0.5641025641025641, 0.559322033898305]",2929,733,5,B3,aptos2019,panderm,rebalance,coral,1,0,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
0.7073960886636129,0.6832864829457128,0.2837653478854025,"[0.9362880886426593, 0.7297297297297297, 0.585, 0.7435897435897436, 0.5423728813559322]",2929,733,6,B3,aptos2019,panderm,rebalance,coral,1,1,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
0.6698214305201488,0.6641006567053039,0.28005464480874315,"[0.9224376731301939, 0.6351351351351351, 0.61, 0.6052631578947368, 0.576271186440678]",2930,732,7,B3,aptos2019,panderm,rebalance,coral,1,2,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
0.6863079664108612,0.6947506170082303,0.25,"[0.961218836565097, 0.7297297297297297, 0.6080402010050251, 0.6410256410256411, 0.4915254237288136]",2930,732,8,B3,aptos2019,panderm,rebalance,coral,1,3,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
0.6628661959767177,0.6689656236217055,0.26639344262295084,"[0.9362880886426593, 0.6891891891891891, 0.605, 0.47368421052631576, 0.6101694915254238]",2930,732,9,B3,aptos2019,panderm,rebalance,coral,1,4,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
0.6935781174204574,0.7021612192707607,0.25375170532060026,"[0.9750692520775623, 0.7702702702702703, 0.59, 0.6410256410256411, 0.4915254237288136]",2929,733,10,B3,aptos2019,panderm,rebalance,coral,2,0,"StratifiedGroupKFold(5,shuffle,rs=2)",pool
0.6851709889652515,0.6738510509085677,0.27148703956343795,"[0.9335180055401662, 0.7567567567567568, 0.57, 0.5384615384615384, 0.6271186440677966]",2929,733,11,B3,aptos2019,panderm,rebalance,coral,2,1,"StratifiedGroupKFold(5,shuffle,rs=2)",pool
0.7053632488773105,0.6616636745204323,0.31010928961748635,"[0.9224376731301939, 0.7162162162162162, 0.53, 0.8157894736842105, 0.5423728813559322]",2930,732,12,B3,aptos2019,panderm,rebalance,coral,2,2,"StratifiedGroupKFold(5,shuffle,rs=2)",pool
0.6205104122685362,0.6440125061759081,0.29098360655737704,"[0.9418282548476454, 0.5945945945945946, 0.6130653266331658, 0.46153846153846156, 0.4915254237288136]",2930,732,13,B3,aptos2019,panderm,rebalance,coral,2,3,"StratifiedGroupKFold(5,shuffle,rs=2)",pool
