dataset,loss,wd,fold,bacc,bacc_leakex,train_acc,wnorm,exploratory
aptos2019,ce,0.0001,8,0.6385841893351165,0.630769494443532,0.9665529010238908,8.130956649780273,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.01,8,0.6385841893351165,0.630769494443532,0.9665529010238908,8.066107749938965,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.1,8,0.6280578735456429,0.6193409230149605,0.9634812286689419,7.525504112243652,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,0.3,8,0.6294632040839374,0.6195445737274256,0.9593856655290103,6.577320575714111,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,ce,1.0,8,0.6468280315152469,0.6323351926693377,0.9426621160409556,4.714261531829834,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.0001,8,0.6370742745186616,0.6245472642811307,0.9604095563139932,8.754332542419434,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.01,8,0.6397769772213644,0.6277730707327436,0.9600682593856655,8.687970161437988,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.1,8,0.6477428378188038,0.6367131628986422,0.9597269624573379,8.13187313079834,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,0.3,8,0.6580920903531824,0.6483882763137315,0.9549488054607509,7.143355369567871,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wce,1.0,8,0.6739145702818176,0.6657867600905841,0.9324232081911262,5.160242080688477,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.0,8,0.6385841893351165,0.630769494443532,0.9665529010238908,8.130956649780273,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.25,8,0.6435500499325562,0.637397447881107,0.9744027303754266,8.475513458251953,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.5,8,0.6337703889156071,0.6280677652931341,0.9764505119453925,8.688490867614746,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,0.75,8,0.6305698973305434,0.6232380242150903,0.9679180887372013,8.685270309448242,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,1.0,8,0.6370742745186616,0.6245472642811307,0.9604095563139932,8.754332542419434,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength,1.25,8,0.6540985289247179,0.6433816801735561,0.9457337883959044,8.53637981414795,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength_effnum,0.99,8,0.633194358826642,0.6261046531495457,0.9689419795221843,8.270405769348145,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength_effnum,0.999,8,0.6386437911689802,0.6264250797382956,0.9668941979522184,8.677669525146484,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
aptos2019,wstrength_effnum,0.9999,8,0.6370742745186616,0.6245472642811307,0.9600682593856655,8.695446014404297,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
