dataset,arm,wave,fold,variant,n_test,n_excluded,n_leaked_in_fold,n_conflict_in_fold,n_leaked_and_conflict,bacc,mcc,per_class_recall,per_class_n,recall_c0,recall_c1,recall_c2,recall_c3,recall_c4,recall_c5,recall_c6
aptos2019,B0,w1,4,conflict_excluded,685,47,43,13,9,0.6121131909544542,0.6905368246704294,"[0.9805013927576601, 0.42857142857142855, 0.7341040462427746, 0.35135135135135137, 0.5660377358490566]","[359, 63, 173, 37, 53]",0.9805013927576601,0.42857142857142855,0.7341040462427746,0.35135135135135137,0.5660377358490566,,
aptos2019,B0,w1,4,leaked_only,43,689,43,13,9,0.715,0.6722023116291865,"[1.0, 0.8, 0.875, 0.5, 0.4]","[2, 10, 24, 2, 5]",1.0,0.8,0.875,0.5,0.4,,
aptos2019,B0,w1,5,full,733,0,35,9,6,0.6216648776322939,0.7116133714718393,"[0.997229916897507, 0.5540540540540541, 0.75, 0.23076923076923078, 0.576271186440678]","[361, 74, 200, 39, 59]",0.997229916897507,0.5540540540540541,0.75,0.23076923076923078,0.576271186440678,,
aptos2019,B0,w1,5,leakfree,698,35,35,9,6,0.6049037210512621,0.705339097649635,"[0.9972222222222222, 0.5, 0.7431693989071039, 0.22857142857142856, 0.5555555555555556]","[360, 66, 183, 35, 54]",0.9972222222222222,0.5,0.7431693989071039,0.22857142857142856,0.5555555555555556,,
aptos2019,B0,w1,5,conflict_excluded,695,38,35,9,6,0.6073920523920524,0.7077527468107531,"[0.9972222222222222, 0.5, 0.7417582417582418, 0.24242424242424243, 0.5555555555555556]","[360, 66, 182, 33, 54]",0.9972222222222222,0.5,0.7417582417582418,0.24242424242424243,0.5555555555555556,,
aptos2019,B0,w1,5,leaked_only,35,698,35,9,6,0.7747058823529411,0.7085205760186473,"[1.0, 1.0, 0.8235294117647058, 0.25, 0.8]","[1, 8, 17, 4, 5]",1.0,1.0,0.8235294117647058,0.25,0.8,,
aptos2019,B0,w1,6,full,733,0,36,11,9,0.6681058110445875,0.7335939014819487,"[0.9861495844875346, 0.5945945945945946, 0.765, 0.38461538461538464, 0.6101694915254238]","[361, 74, 200, 39, 59]",0.9861495844875346,0.5945945945945946,0.765,0.38461538461538464,0.6101694915254238,,
aptos2019,B0,w1,6,leakfree,697,36,36,11,9,0.6663083196991153,0.7337054783045868,"[0.9861111111111112, 0.5797101449275363, 0.7541899441340782, 0.3888888888888889, 0.6226415094339622]","[360, 69, 179, 36, 53]",0.9861111111111112,0.5797101449275363,0.7541899441340782,0.3888888888888889,0.6226415094339622,,
aptos2019,B0,w1,6,conflict_excluded,695,38,36,11,9,0.6684269036613931,0.7348431622571181,"[0.9861111111111112, 0.5797101449275363, 0.7528089887640449, 0.3888888888888889, 0.6346153846153846]","[360, 69, 178, 36, 52]",0.9861111111111112,0.5797101449275363,0.7528089887640449,0.3888888888888889,0.6346153846153846,,
aptos2019,B0,w1,6,leaked_only,36,697,36,11,9,0.6980952380952381,0.5902265787373703,"[1.0, 0.8, 0.8571428571428571, 0.3333333333333333, 0.5]","[1, 5, 21, 3, 6]",1.0,0.8,0.8571428571428571,0.3333333333333333,0.5,,
aptos2019,B0,w1,7,full,732,0,37,13,13,0.6499067993294952,0.7215755642917921,"[0.9833795013850416, 0.6081081081081081, 0.77, 0.4473684210526316, 0.4406779661016949]","[361, 74, 200, 38, 59]",0.9833795013850416,0.6081081081081081,0.77,0.4473684210526316,0.4406779661016949,,
aptos2019,B0,w1,7,leakfree,695,37,37,13,13,0.6544588416011566,0.7294747372958751,"[0.9859943977591037, 0.6176470588235294, 0.7580645161290323, 0.47058823529411764, 0.44]","[357, 68, 186, 34, 50]",0.9859943977591037,0.6176470588235294,0.7580645161290323,0.47058823529411764,0.44,,
aptos2019,B0,w1,7,conflict_excluded,695,37,37,13,13,0.6544588416011566,0.7294747372958751,"[0.9859943977591037, 0.6176470588235294, 0.7580645161290323, 0.47058823529411764, 0.44]","[357, 68, 186, 34, 50]",0.9859943977591037,0.6176470588235294,0.7580645161290323,0.47058823529411764,0.44,,
aptos2019,B0,w1,7,leaked_only,37,695,37,13,13,0.5746031746031747,0.5255066814002098,"[0.75, 0.5, 0.9285714285714286, 0.25, 0.4444444444444444]","[4, 6, 14, 4, 9]",0.75,0.5,0.9285714285714286,0.25,0.4444444444444444,,
