dataset,arm,family,loss,fold,repeat,n_train_fold,n_inner_train,n_inner_val,T,T_converged,T_insample,nll_val_T1,nll_val_T,secs,n_test,n_pred_changed,bacc_T1,bacc_T,exploratory
aptos2019,B1d,softmax,ce,7,1,2930,2637,293,2.2574053539197276,True,0.4707530253582905,0.7119862623981799,0.5074590951397469,0.24,732,0,0.6206958885266787,0.6206958885266787,탐색적/exploratory
aptos2019,B1d,softmax,ce,8,1,2930,2637,293,2.8435566528567295,True,0.4082659333024202,1.0947429841508547,0.6579311896055493,0.26,732,0,0.6293915511830906,0.6293915511830906,탐색적/exploratory
aptos2019,B1d,softmax,ce,9,1,2930,2637,293,2.7202209233688257,True,0.48512163308783085,0.9492009788869327,0.5929658286971321,0.24,732,0,0.6305321094504818,0.6305321094504818,탐색적/exploratory
aptos2019,B1d,softmax,ce,10,2,2929,2636,293,2.6341530749013353,True,0.4732907503622163,0.9310387553991748,0.6073388915212716,0.25,733,0,0.6253457742559109,0.6253457742559109,탐색적/exploratory
aptos2019,B1d,softmax,ce,11,2,2929,2636,293,2.501155182312712,True,0.48120837742628386,0.8635882736790047,0.5718730635263314,0.25,733,0,0.6278163503262804,0.6278163503262804,탐색적/exploratory
aptos2019,B1d,softmax,ce,12,2,2930,2637,293,2.707506333090015,True,0.42868883175679473,0.9497546656865649,0.5909879411854664,0.26,732,0,0.6391291444973308,0.6391291444973308,탐색적/exploratory
aptos2019,B1d,softmax,ce,13,2,2930,2637,293,2.676565504385643,True,0.4511823314341206,0.9272329090251186,0.58916015595138,0.24,732,0,0.6407021101104861,0.6407021101104861,탐색적/exploratory
aptos2019,B1d,softmax,ce,14,2,2930,2637,293,2.7727155880930563,True,0.47233371614333225,1.0168802215349253,0.6253255881566058,0.24,732,0,0.6379010308696064,0.6379010308696064,탐색적/exploratory
aptos2019,B2,softmax,ce,0,0,2929,2636,293,1.446005117108145,True,0.7291303476289428,0.4710368490804602,0.436974829720129,1.51,733,0,0.6544386899693722,0.6544386899693722,탐색적/exploratory
aptos2019,B2,softmax,ce,1,0,2929,2636,293,1.3844978438098978,True,0.723942079525847,0.4430828958715615,0.4208974497683212,1.49,733,0,0.635869157896624,0.635869157896624,탐색적/exploratory
aptos2019,B2,softmax,ce,2,0,2930,2637,293,1.7472935095096538,True,0.729334619935221,0.6064250217645049,0.516483074997339,1.5,732,0,0.6546326956093612,0.6546326956093612,탐색적/exploratory
aptos2019,B2,softmax,ce,3,0,2930,2637,293,1.7349985511484551,True,0.746789304400135,0.5982298982548673,0.5181677810372661,1.48,732,0,0.6460145978176871,0.6460145978176871,탐색적/exploratory
aptos2019,B2,softmax,ce,4,0,2930,2637,293,1.6150375220872994,True,0.7310070271366171,0.5455867824978828,0.4873745948803469,1.54,732,0,0.6361195979695775,0.6361195979695775,탐색적/exploratory
aptos2019,B2,softmax,ce,5,1,2929,2636,293,1.5928915924390725,True,0.701730546139078,0.5426280487764126,0.4833026019638354,1.59,733,0,0.6313665628450831,0.6313665628450831,탐색적/exploratory
aptos2019,B2,softmax,ce,6,1,2929,2636,293,1.7614872241108277,True,0.7305234927029346,0.6653038550143638,0.5666725469149548,1.55,733,0,0.6769720663033024,0.6769720663033024,탐색적/exploratory
aptos2019,B2,softmax,ce,7,1,2930,2637,293,1.4051595297497002,True,0.7199395333588354,0.4433903524192484,0.4166978477523667,1.65,732,0,0.6539629522005221,0.6539629522005221,탐색적/exploratory
aptos2019,B2,softmax,ce,8,1,2930,2637,293,1.6883949358510655,True,0.7261739977344461,0.5475197680030817,0.4789535947535359,1.75,732,0,0.6690589813250971,0.6690589813250971,탐색적/exploratory
aptos2019,B2,softmax,ce,9,1,2930,2637,293,1.5566219417763827,True,0.6982787588859581,0.5141222470613754,0.46784783038761574,1.75,732,0,0.588779246732943,0.588779246732943,탐색적/exploratory
