bacc,mcc,macro_mae,classmean_mae,per_class_recall,arm,dataset,fold,n_train,n_test
0.6260862507185339,0.6900894299698124,0.2718579234972678,0.4928757282095467,"[0.9778393351800554, 0.5945945945945946, 0.715, 0.3684210526315789, 0.4745762711864407]",w16_fz_ce,aptos2019,8,2930,732
0.6520764405891407,0.6914117567580506,0.27049180327868855,0.44954655528809245,"[0.9722991689750693, 0.6891891891891891, 0.66, 0.4473684210526316, 0.4915254237288136]",w16_fz_wce,aptos2019,8,2930,732
0.5859489574906417,0.6898319194418752,0.28688524590163933,0.5729820469716485,"[0.9750692520775623, 0.5405405405405406, 0.7939698492462312, 0.1794871794871795, 0.4406779661016949]",w16_fz_ce,aptos2019,9,2930,732
0.6194804939458531,0.6763849249785028,0.3073770491803279,0.535537036855923,"[0.9695290858725761, 0.6081081081081081, 0.678391959798995, 0.28205128205128205, 0.559322033898305]",w16_fz_wce,aptos2019,9,2930,732
0.6389362292296232,0.72835590438368,0.24283765347885403,0.4755486165250943,"[0.9889196675900277, 0.5945945945945946, 0.795, 0.3076923076923077, 0.5084745762711864]",w16_fz_ce,aptos2019,10,2929,733
0.675783201603334,0.7264474971202433,0.24147339699863574,0.41737300545117806,"[0.9861495844875346, 0.6486486486486487, 0.715, 0.4358974358974359, 0.5932203389830508]",w16_fz_wce,aptos2019,10,2929,733
0.6400946415288873,0.7068575433479796,0.2660300136425648,0.4862373205096807,"[0.9778393351800554, 0.6486486486486487, 0.74, 0.41025641025641024, 0.423728813559322]",w16_fz_ce,aptos2019,11,2929,733
0.6228581689600047,0.6602463580809524,0.32605729877216916,0.5210494564455783,"[0.96398891966759, 0.6756756756756757, 0.615, 0.4358974358974359, 0.423728813559322]",w16_fz_wce,aptos2019,11,2929,733
0.6413346750196367,0.7231355794772482,0.24180327868852458,0.46872097027775694,"[0.9833795013850416, 0.6756756756756757, 0.78, 0.39473684210526316, 0.3728813559322034]",w16_fz_ce,aptos2019,12,2930,732
0.6490210541542998,0.7016120096324395,0.273224043715847,0.47375286874272743,"[0.9861495844875346, 0.7567567567567568, 0.665, 0.4473684210526316, 0.3898305084745763]",w16_fz_wce,aptos2019,12,2930,732
