dataset,family,frontier_base,axis,recall_level,n_folds_valid,n_folds,bacc_mean,bacc_ci_lo,bacc_ci_hi,bacc_min,bacc_max,exploratory
oral_diseases,panderm,A0,tau,0.84,1,15,0.6886837577627052,,,0.6886837577627052,0.6886837577627052,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.85,0,15,,,,,,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.86,0,15,,,,,,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.87,0,15,,,,,,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.88,0,15,,,,,,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.89,0,15,,,,,,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.9,0,15,,,,,,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.91,0,15,,,,,,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.92,0,15,,,,,,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.93,0,15,,,,,,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.94,0,15,,,,,,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.95,0,15,,,,,,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.96,0,15,,,,,,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.97,0,15,,,,,,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.98,0,15,,,,,,탐색적/exploratory
oral_diseases,panderm,A0,tau,0.99,0,15,,,,,,탐색적/exploratory
oral_diseases,panderm,A0,tau,1.0,0,15,,,,,,탐색적/exploratory
oral_diseases,panderm,A0,offset,0.0,15,15,0.7626197924882135,0.7186490802544414,0.8065905047219857,0.6851627173995596,0.8173715173715174,탐색적/exploratory
oral_diseases,panderm,A0,offset,0.01,15,15,0.7626197924882135,0.7186490802544414,0.8065905047219857,0.6851627173995596,0.8173715173715174,탐색적/exploratory
oral_diseases,panderm,A0,offset,0.02,15,15,0.7626197924882135,0.7186490802544414,0.8065905047219857,0.6851627173995596,0.8173715173715174,탐색적/exploratory
oral_diseases,panderm,A0,offset,0.03,15,15,0.7626197924882135,0.7186490802544414,0.8065905047219857,0.6851627173995596,0.8173715173715174,탐색적/exploratory
oral_diseases,panderm,A0,offset,0.04,15,15,0.7626197924882135,0.7186490802544414,0.8065905047219857,0.6851627173995596,0.8173715173715174,탐색적/exploratory
oral_diseases,panderm,A0,offset,0.05,15,15,0.7626197924882135,0.7186490802544414,0.8065905047219857,0.6851627173995596,0.8173715173715174,탐색적/exploratory
oral_diseases,panderm,A0,offset,0.06,15,15,0.7626197924882135,0.7186490802544414,0.8065905047219857,0.6851627173995596,0.8173715173715174,탐색적/exploratory
oral_diseases,panderm,A0,offset,0.07,15,15,0.7626197924882135,0.7186490802544414,0.8065905047219857,0.6851627173995596,0.8173715173715174,탐색적/exploratory
oral_diseases,panderm,A0,offset,0.08,15,15,0.7626197924882135,0.7186490802544414,0.8065905047219857,0.6851627173995596,0.8173715173715174,탐색적/exploratory
oral_diseases,panderm,A0,offset,0.09,15,15,0.7626197924882135,0.7186490802544414,0.8065905047219857,0.6851627173995596,0.8173715173715174,탐색적/exploratory
oral_diseases,panderm,A0,offset,0.1,15,15,0.7626197924882135,0.7186490802544414,0.8065905047219857,0.6851627173995596,0.8173715173715174,탐색적/exploratory
oral_diseases,panderm,A0,offset,0.11,15,15,0.7626197924882135,0.7186490802544414,0.8065905047219857,0.6851627173995596,0.8173715173715174,탐색적/exploratory
oral_diseases,panderm,A0,offset,0.12,15,15,0.7626197924882135,0.7186490802544414,0.8065905047219857,0.6851627173995596,0.8173715173715174,탐색적/exploratory
oral_diseases,panderm,A0,offset,0.13,15,15,0.7626197924882135,0.7186490802544414,0.8065905047219857,0.6851627173995596,0.8173715173715174,탐색적/exploratory
oral_diseases,panderm,A0,offset,0.14,15,15,0.7626197924882135,0.7186490802544414,0.8065905047219857,0.6851627173995596,0.8173715173715174,탐색적/exploratory
oral_diseases,panderm,A0,offset,0.15,15,15,0.7626197924882135,0.7186490802544414,0.8065905047219857,0.6851627173995596,0.8173715173715174,탐색적/exploratory
oral_diseases,panderm,A0,offset,0.16,15,15,0.7626197924882135,0.7186490802544414,0.8065905047219857,0.6851627173995596,0.8173715173715174,탐색적/exploratory
