dataset,arm,scaling,metric,n_repeats,mean,lo,hi,range,exploratory
aptos2019,B1d,none,cwece_em,3,0.05618871049023085,0.05448895234283648,0.057090607095338045,0.002601654752501563,탐색적/exploratory
aptos2019,B1d,none,cwece_db,3,0.10096352235110584,0.09824714312520094,0.10239315975886124,0.004146016633660293,탐색적/exploratory
aptos2019,B1d,none,cwece_rms_em,3,0.10237401524396901,0.09970145541334467,0.10385912674223974,0.004157671328895066,탐색적/exploratory
aptos2019,B1d,none,brier_multiclass,3,0.3414919786659231,0.33408400030413365,0.3457116945585389,0.01162769425440524,탐색적/exploratory
aptos2019,B1d,none,brier_balanced,3,0.6025064810139983,0.5865142666849079,0.6160360984333038,0.029521831748395844,탐색적/exploratory
aptos2019,B1d,none,brier_ovr_mean,3,0.06829839573318464,0.06681680006082673,0.06914233891170778,0.002325538850881048,탐색적/exploratory
aptos2019,B1d,none,nll,3,0.8637564861344088,0.8216223331174193,0.8859037450485632,0.0642814119311439,탐색적/exploratory
aptos2019,B1d,none,acc,3,0.7885490624431094,0.7872747132714364,0.79000546149645,0.002730748225013624,탐색적/exploratory
aptos2019,B1d,none,bacc,3,0.6320053635880167,0.6247144878528725,0.637189431130673,0.01247494327780041,탐색적/exploratory
aptos2019,B1d,none,mean_conf,3,0.9228484369274478,0.9212182929845757,0.9237264420174462,0.0025081490328705547,탐색적/exploratory
