family,dataset,base_arm,tau,fold,n_train,n_test,bacc,mcc,mae_sample,mae_class,recall_0,recall_1,recall_2,recall_3,recall_4,pi_0,pi_1,pi_2,pi_3,pi_4,recall_5,recall_6,pi_5,pi_6,exploratory
panderm,aptos2019,B0,0.5,12,2930,732,0.6434086437251844,0.7078327347545148,0.26639344262295084,0.4850182675750543,0.9833795013850416,0.7297297297297297,0.71,0.42105263157894735,0.3728813559322034,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
panderm,aptos2019,B0,1.0,12,2930,732,0.6485595707449786,0.6948187768957574,0.28005464480874315,0.46891818801288726,0.9833795013850416,0.7702702702702703,0.635,0.4473684210526316,0.4067796610169492,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
panderm,aptos2019,B0,0.0,13,2930,732,0.668620569675267,0.7486921087462012,0.2226775956284153,0.44184563670671,0.9806094182825484,0.6486486486486487,0.82,0.3684210526315789,0.5254237288135594,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
panderm,aptos2019,B0,0.5,13,2930,732,0.6655489167744203,0.7301763628021005,0.2390710382513661,0.43699928685904554,0.9778393351800554,0.6621621621621622,0.76,0.3684210526315789,0.559322033898305,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
panderm,aptos2019,B0,1.0,13,2930,732,0.6760475317328691,0.7188891224683294,0.2540983606557377,0.4322033746032995,0.9750692520775623,0.6621621621621622,0.71,0.47368421052631576,0.559322033898305,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
panderm,aptos2019,B0,0.0,14,2930,732,0.6603350055989561,0.7290015290539137,0.24316939890710382,0.45992853833149255,0.9806094182825484,0.5675675675675675,0.7839195979899497,0.41025641025641024,0.559322033898305,0.4928327645051195,0.10102389078498293,0.27303754266211605,0.05255972696245734,0.08054607508532423,,,,,탐색적/exploratory
panderm,aptos2019,B0,0.5,14,2930,732,0.6710910072864689,0.7058874457504882,0.26639344262295084,0.44365341561510674,0.9750692520775623,0.5945945945945946,0.6884422110552764,0.48717948717948717,0.6101694915254238,0.4928327645051195,0.10102389078498293,0.27303754266211605,0.05255972696245734,0.08054607508532423,,,,,탐색적/exploratory
panderm,aptos2019,B0,1.0,14,2930,732,0.6691295399611854,0.6781754776116935,0.296448087431694,0.4489639742555573,0.9722991689750693,0.6216216216216216,0.5778894472361809,0.5128205128205128,0.6610169491525424,0.4928327645051195,0.10102389078498293,0.27303754266211605,0.05255972696245734,0.08054607508532423,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,0.0,0,2929,733,0.6452128113732415,0.7147681212415369,0.2673942701227831,0.47598073406665353,0.9833795013850416,0.5945945945945946,0.755,0.38461538461538464,0.5084745762711864,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,0.5,0,2929,733,0.6580230040504701,0.7016966864532509,0.2878581173260573,0.47268398003582757,0.9778393351800554,0.6216216216216216,0.695,0.48717948717948717,0.5084745762711864,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,1.0,0,2929,733,0.6747413719396442,0.6940770701192582,0.296043656207367,0.44640629011275523,0.9750692520775623,0.6621621621621622,0.63,0.5641025641025641,0.5423728813559322,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,0.0,1,2929,733,0.6254897884807271,0.6955745285396729,0.2592087312414734,0.4666871491498939,0.9833795013850416,0.5405405405405406,0.72,0.2564102564102564,0.6271186440677966,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,0.5,1,2929,733,0.6355619904721271,0.6835031381588844,0.2810368349249659,0.45715938586453636,0.9750692520775623,0.6216216216216216,0.655,0.28205128205128205,0.6440677966101694,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,1.0,1,2929,733,0.6555932305555292,0.6846973068293384,0.2837653478854025,0.4374565928722932,0.9722991689750693,0.6756756756756757,0.61,0.358974358974359,0.6610169491525424,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,0.0,2,2930,732,0.672061542034076,0.710806005617019,0.26366120218579236,0.44459356168225134,0.9695290858725761,0.6216216216216216,0.725,0.5526315789473685,0.4915254237288136,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,0.5,2,2930,732,0.6751696501421841,0.709036321490761,0.2650273224043716,0.43979832576837136,0.9695290858725761,0.6621621621621622,0.7,0.5526315789473685,0.4915254237288136,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,1.0,2,2930,732,0.6830141435392856,0.6950320110445037,0.28415300546448086,0.4368518709798582,0.9667590027700831,0.6756756756756757,0.625,0.6052631578947368,0.5423728813559322,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,0.0,3,2930,732,0.6249031156138533,0.6936451724839096,0.2718579234972678,0.48783958262220145,0.9722991689750693,0.5540540540540541,0.74,0.3157894736842105,0.5423728813559322,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,0.5,3,2930,732,0.623797323310446,0.6686957553513748,0.296448087431694,0.491571119314065,0.9695290858725761,0.581081081081081,0.65,0.34210526315789475,0.576271186440678,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,1.0,3,2930,732,0.6217022420796307,0.6432926184590142,0.33879781420765026,0.51290914431968,0.9529085872576177,0.5945945945945946,0.59,0.39473684210526316,0.576271186440678,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,0.0,4,2930,732,0.597586598604718,0.6807550412972191,0.2814207650273224,0.5291229321876477,0.9889196675900277,0.44594594594594594,0.7286432160804021,0.28205128205128205,0.5423728813559322,0.4928327645051195,0.10102389078498293,0.27303754266211605,0.05255972696245734,0.08054607508532423,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,0.5,4,2930,732,0.6100240457155319,0.6734767140631199,0.30191256830601093,0.5369218017955626,0.9889196675900277,0.4864864864864865,0.6733668341708543,0.358974358974359,0.5423728813559322,0.4928327645051195,0.10102389078498293,0.27303754266211605,0.05255972696245734,0.08054607508532423,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,1.0,4,2930,732,0.6159781572498473,0.6559139712901371,0.3237704918032787,0.5397115930090678,0.9750692520775623,0.4864864864864865,0.6231155778894473,0.4358974358974359,0.559322033898305,0.4928327645051195,0.10102389078498293,0.27303754266211605,0.05255972696245734,0.08054607508532423,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,0.0,5,2929,733,0.6054022942067921,0.6880892158651729,0.27694406548431105,0.5142268902619623,0.9833795013850416,0.5945945945945946,0.735,0.2564102564102564,0.4576271186440678,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,0.5,5,2929,733,0.6168844237267638,0.6749006460139756,0.30013642564802184,0.5070074770476667,0.9750692520775623,0.6351351351351351,0.675,0.3076923076923077,0.4915254237288136,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
