dataset,arm,source,family,frontier_base,axis,fold,recall_target,bacc,frontier_bacc,gap,exploratory
aptos2019,B0d,w11_preds_dinov2,dinov2,B0d,union,0,0.38461538461538464,0.6452128113732415,0.6799240112815399,-0.03471119990829841,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,panderm,B0,tau,1,0.2564102564102564,0.6254897884807271,0.6612491072479334,-0.03575931876720628,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,panderm,B0,offset,1,0.2564102564102564,0.6254897884807271,0.666965204525982,-0.04147541604525484,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,panderm,B0,union,1,0.2564102564102564,0.6254897884807271,0.666965204525982,-0.04147541604525484,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,dinov2,B0d,tau,1,0.2564102564102564,0.6254897884807271,0.6646625466654575,-0.03917275818473043,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,dinov2,B0d,offset,1,0.2564102564102564,0.6254897884807271,0.6381963246983672,-0.012706536217640063,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,dinov2,B0d,union,1,0.2564102564102564,0.6254897884807271,0.6646625466654575,-0.03917275818473043,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,panderm,B0,tau,2,0.5526315789473685,0.672061542034076,0.6930009593141666,-0.020939417280090633,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,panderm,B0,offset,2,0.5526315789473685,0.672061542034076,0.7073331573744739,-0.03527161534039791,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,panderm,B0,union,2,0.5526315789473685,0.672061542034076,0.7073331573744739,-0.03527161534039791,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,dinov2,B0d,tau,2,0.5526315789473685,0.672061542034076,0.689277817890194,-0.01721627585611807,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,dinov2,B0d,offset,2,0.5526315789473685,0.672061542034076,0.689750407010607,-0.017688864976530994,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,dinov2,B0d,union,2,0.5526315789473685,0.672061542034076,0.689750407010607,-0.017688864976530994,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,panderm,B0,tau,3,0.3157894736842105,0.6249031156138533,0.7247577084573188,-0.09985459284346554,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,panderm,B0,offset,3,0.3157894736842105,0.6249031156138533,0.6733966624495757,-0.04849354683572249,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,panderm,B0,union,3,0.3157894736842105,0.6249031156138533,0.7247577084573188,-0.09985459284346554,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,dinov2,B0d,tau,3,0.3157894736842105,0.6249031156138533,0.6470341977735283,-0.022131082159675075,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,dinov2,B0d,offset,3,0.3157894736842105,0.6249031156138533,0.6355886064946585,-0.010685490880805282,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,dinov2,B0d,union,3,0.3157894736842105,0.6249031156138533,0.6470341977735283,-0.022131082159675075,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,panderm,B0,tau,4,0.28205128205128205,0.597586598604718,0.6429234776423559,-0.045336879037637945,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,panderm,B0,offset,4,0.28205128205128205,0.597586598604718,0.6289810300409094,-0.03139443143619147,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,panderm,B0,union,4,0.28205128205128205,0.597586598604718,0.6429234776423559,-0.045336879037637945,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,dinov2,B0d,tau,4,0.28205128205128205,0.597586598604718,0.6365864518496546,-0.0389998532449366,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,dinov2,B0d,offset,4,0.28205128205128205,0.597586598604718,0.6447582845488143,-0.047171685944096375,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,dinov2,B0d,union,4,0.28205128205128205,0.597586598604718,0.6447582845488143,-0.047171685944096375,탐색적/exploratory
