dataset,arm,wave,scope,n_folds,count_multiplicity,true_idx,true_class,pred_idx,pred_class,count,row_total,row_frac,row_frac_repeat_sd,row_frac_repeat_min,row_frac_repeat_max,row_frac_fold_sd,row_frac_fold_min,row_frac_fold_max,n_folds_used_for_fold_spread,note
aptos2019,B0,w1,repeat1,5,1,1,mild,4,proliferative_dr,12,370,0.032432432432432434,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat1,5,1,2,moderate,0,no_dr,11,999,0.011011011011011011,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat1,5,1,2,moderate,1,mild,102,999,0.1021021021021021,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat1,5,1,2,moderate,2,moderate,751,999,0.7517517517517518,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat1,5,1,2,moderate,3,severe,67,999,0.06706706706706707,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat1,5,1,2,moderate,4,proliferative_dr,68,999,0.06806806806806807,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat1,5,1,3,severe,0,no_dr,1,193,0.0051813471502590676,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat1,5,1,3,severe,1,mild,3,193,0.015544041450777202,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat1,5,1,3,severe,2,moderate,88,193,0.45595854922279794,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat1,5,1,3,severe,3,severe,63,193,0.32642487046632124,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat1,5,1,3,severe,4,proliferative_dr,38,193,0.19689119170984457,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat1,5,1,4,proliferative_dr,0,no_dr,3,295,0.010169491525423728,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
