dataset,arm,config,fold,exploratory,bacc,per_class_recall,qwk,macro_mae,bacc_leakex,n_leaked,train_acc,a_ratio,pair_cos,row_cos,wnorm_ratio,wnorm_spearman
aptos2019,affine_scale,scale,5,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6684867764541927,"[0.997229916897507, 0.6891891891891891, 0.49, 0.5897435897435898, 0.576271186440678]",0.8657382999835945,0.2987721691678035,0.6612298236068728,35,,1.285568118095398,0.9984777808189392,1.0,,
aptos2019,affine_taunorm,tau=0.0,5,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6216648776322939,"[0.997229916897507, 0.5540540540540541, 0.75, 0.23076923076923078, 0.576271186440678]",0.8827476503101986,0.252387448840382,0.6049037210512621,35,,,,,2.1705384254455566,-0.7
aptos2019,vs,"g=0.0,t=1.0",5,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6591370511279898,"[0.9833795013850416, 0.6486486486486487, 0.575, 0.46153846153846156, 0.6271186440677966]",0.8611520247668272,0.2987721691678035,0.6450155733762291,35,0.9542505974735405,,0.9783268988132476,0.9766397476196289,,
aptos2019,vs_la_corner,"g=0,t=1",5,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6591370511279898,"[0.9833795013850416, 0.6486486486486487, 0.575, 0.46153846153846156, 0.6271186440677966]",0.8611520247668272,0.2987721691678035,0.6450155733762291,35,,,0.9783268988132476,0.9766397476196289,,
aptos2019,wd_ce,wd=0.1,5,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6167210305033207,"[0.9944598337950139, 0.5540540540540541, 0.745, 0.23076923076923078, 0.559322033898305]",0.8786372250476013,0.2592087312414734,0.5995515656171395,35,0.9634687606691703,,,0.9995887875556946,,
aptos2019,wd_wce,wd=1.0,5,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.644152151801478,"[0.9889196675900277, 0.6216216216216216, 0.615, 0.4358974358974359, 0.559322033898305]",0.8683165411951297,0.29195088676671216,0.6319838510002445,35,0.9347900307272107,,,0.9313706755638123,,
aptos2019,ordcost,"abs,lam=0.1,wce",5,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6333829364546769,"[0.9916897506925207, 0.581081081081081, 0.625, 0.358974358974359, 0.6101694915254238]",0.8754459178202482,0.286493860845839,0.6169917362540314,35,0.9621031068624104,,0.9568020880222321,0.9477819800376892,,
aptos2019,B0,ce·wd1e-4,6,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6681058110445875,"[0.9861495844875346, 0.5945945945945946, 0.765, 0.38461538461538464, 0.6101694915254238]",0.8990132916956425,0.2291950886766712,0.6663083196991153,36,0.9624445203141003,,,,,
aptos2019,B1,wce·wd1e-4,6,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.7017784607029173,"[0.9806094182825484, 0.7027027027027027, 0.66, 0.5384615384615384, 0.6271186440677966]",0.8834576859241333,0.2551159618008186,0.690918472723162,36,0.9573233185387504,,,,,
aptos2019,affine,full,6,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6907687234558919,"[0.9806094182825484, 0.7702702702702703, 0.52, 0.5897435897435898, 0.5932203389830508]",0.8703688661542812,0.2946793997271487,0.681042206752286,36,,1.3059049844741821,0.9983221471309662,1.0,,
aptos2019,affine_offset,offset,6,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.699733051538864,"[0.9806094182825484, 0.7837837837837838, 0.56, 0.5641025641025641, 0.6101694915254238]",0.8773961471667489,0.2783083219645293,0.6899800158773077,36,,1.0,0.9999999761581421,1.0,,
aptos2019,affine_scale,scale,6,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6887530736918502,"[0.9861495844875346, 0.7027027027027027, 0.555, 0.5897435897435898, 0.6101694915254238]",0.8773782494313511,0.28240109140518416,0.6810366104850318,36,,1.2745548486709595,0.9986959457397461,1.0,,
aptos2019,affine_taunorm,tau=0.0,6,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6681058110445875,"[0.9861495844875346, 0.5945945945945946, 0.765, 0.38461538461538464, 0.6101694915254238]",0.8990132916956425,0.2291950886766712,0.6663083196991153,36,,,,,2.1108756065368652,-0.6
aptos2019,vs,"g=0.2,t=1.0",6,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.694655874447367,"[0.9750692520775623, 0.7837837837837838, 0.395, 0.6923076923076923, 0.6271186440677966]",0.8613248107031604,0.33424283765347884,0.6842444479071028,36,0.8234892454762718,,0.9700342833995819,0.9730953574180603,,
aptos2019,vs_la_corner,"g=0,t=1",6,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6899066658311224,"[0.9806094182825484, 0.7027027027027027, 0.575, 0.5641025641025641, 0.6271186440677966]",0.8776530655085868,0.2810368349249659,0.6774796148708964,36,,,0.9765317678451538,0.9757627844810486,,
aptos2019,wd_ce,wd=1.0,6,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6932703965129431,"[0.9889196675900277, 0.6081081081081081, 0.815, 0.41025641025641024, 0.6440677966101694]",0.9132245853121344,0.20054570259208732,0.692678733013241,36,0.9375213383407306,,,0.9802138209342957,,
aptos2019,wd_wce,wd=1.0,6,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.7078304159399985,"[0.9833795013850416, 0.7432432432432432, 0.63, 0.5384615384615384, 0.6440677966101694]",0.8845855861022622,0.25648021828103684,0.7021302580851804,36,0.9283031751451007,,,0.9308264851570129,,
