dataset,arm,fold,config,inner_mean,exploratory
oral_diseases,vs,8,"g=0.3,t=1.5",0.7380786673643815,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,8,"g=0.4,t=0.0",0.7378161521018664,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,8,"g=0.4,t=0.5",0.7416500959358101,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,8,"g=0.4,t=1.0",0.7397453340310483,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,8,"g=0.4,t=1.5",0.7426024768881911,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,9,"g=0.0,t=0.0",0.7187083551369267,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,9,"g=0.0,t=0.5",0.7155791034362462,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,9,"g=0.0,t=1.0",0.7216108494679923,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,9,"g=0.0,t=1.5",0.7272457701029129,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,9,"g=0.1,t=0.0",0.728356881214024,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,9,"g=0.1,t=0.5",0.733277516134659,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,9,"g=0.1,t=1.0",0.7345473574045003,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,9,"g=0.1,t=1.5",0.7377219605791034,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,9,"g=0.2,t=0.0",0.7385382871097157,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,9,"g=0.2,t=0.5",0.7385382871097157,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,9,"g=0.2,t=1.0",0.7366335252049538,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,9,"g=0.2,t=1.5",0.7347287633001918,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,9,"g=0.3,t=0.0",0.7366335252049538,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,9,"g=0.3,t=0.5",0.7366335252049538,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
