dataset,n_train,n_test,draw,bacc,mcc
oral_diseases,407,54,3,0.7698979591836734,0.7634572767146416
oral_diseases,407,54,4,0.6698412698412698,0.6114116018936226
oral_diseases,407,54,5,0.6543083900226757,0.6149764177341465
oral_diseases,407,54,6,0.7501133786848072,0.6989940203793423
oral_diseases,407,54,7,0.7462585034013606,0.7198952914295496
oral_diseases,407,54,8,0.7805555555555556,0.7440435586068416
oral_diseases,407,54,9,0.7823696145124716,0.7405975627110323
oral_diseases,407,54,10,0.7714852607709751,0.7197427200245256
oral_diseases,407,54,11,0.7426870748299319,0.7026811720569822
oral_diseases,407,54,12,0.6540249433106576,0.6099257877850569
oral_diseases,407,54,13,0.7526643990929704,0.6987923676965766
oral_diseases,407,54,14,0.7532312925170068,0.6863186199585802
oral_diseases,407,54,15,0.7084467120181407,0.6564265018793967
oral_diseases,407,54,16,0.7127551020408164,0.6962497970850084
oral_diseases,407,54,17,0.6612244897959184,0.6133731929047055
oral_diseases,407,54,18,0.7164965986394558,0.6754323593367643
oral_diseases,407,54,19,0.8165532879818594,0.7843976929294695
oral_diseases,407,54,20,0.7243197278911565,0.6787945829650153
oral_diseases,407,54,21,0.7229024943310657,0.675966272202661
oral_diseases,407,54,22,0.7827664399092971,0.7429279216036849
oral_diseases,407,54,23,0.7768707482993197,0.7411056106010314
oral_diseases,407,54,24,0.7556122448979592,0.7219508807818
oral_diseases,407,54,25,0.7848072562358277,0.7420523739663254
oral_diseases,407,54,26,0.7133786848072561,0.6774470864650026
oral_diseases,407,54,27,0.7299886621315191,0.6763287216377509
oral_diseases,407,54,28,0.8014172335600905,0.7640207950164668
oral_diseases,407,54,29,0.683390022675737,0.6360984611437737
oral_diseases,407,54,30,0.66218820861678,0.630965391980711
oral_diseases,407,54,31,0.7113945578231292,0.6606140736650626
oral_diseases,407,54,32,0.8191043083900228,0.7832730830211038
oral_diseases,407,54,33,0.8077664399092971,0.7669752457441685
oral_diseases,407,54,34,0.7574263038548753,0.720097182863367
oral_diseases,407,54,35,0.766780045351474,0.7273603937581622
oral_diseases,407,54,36,0.7315759637188208,0.6810703011000734
oral_diseases,407,54,37,0.7143990929705215,0.675706869553071
oral_diseases,407,54,38,0.753061224489796,0.7207347928298935
oral_diseases,407,54,39,0.7998299319727892,0.7467796301416832
oral_diseases,407,54,40,0.7250566893424036,0.6748598610856172
oral_diseases,407,54,41,0.8030045351473921,0.74327092961064
oral_diseases,407,54,42,0.7336167800453515,0.6978699245942231
oral_diseases,407,54,43,0.7038548752834467,0.7014711131673269
oral_diseases,407,54,44,0.71734693877551,0.6768888275432701
oral_diseases,407,54,45,0.7615646258503401,0.7205469018346089
oral_diseases,407,54,46,0.754251700680272,0.6993964348988468
