epoch,train_loss,train_acc,bacc,per_class_recall,arm,dataset,fold,n_train,n_test
175,0.13774871826171875,0.9610921501706484,0.6451271383125461,"[0.9833795013850416, 0.6081081081081081, 0.78, 0.4473684210526316, 0.4067796610169492]",B0,aptos2019,7,2930,732
200,0.1251440942287445,0.9665529010238908,0.6499067993294952,"[0.9833795013850416, 0.6081081081081081, 0.77, 0.4473684210526316, 0.4406779661016949]",B0,aptos2019,7,2930,732
25,0.4228251576423645,0.8641638225255973,0.6358167291193725,"[0.9750692520775623, 0.6486486486486487, 0.765, 0.3157894736842105, 0.4745762711864407]",B0,aptos2019,8,2930,732
50,0.28345993161201477,0.9017064846416383,0.6472365013964618,"[0.9806094182825484, 0.6756756756756757, 0.765, 0.2894736842105263, 0.5254237288135594]",B0,aptos2019,8,2930,732
75,0.23073802888393402,0.9187713310580204,0.6558345449538934,"[0.9778393351800554, 0.7027027027027027, 0.765, 0.34210526315789475, 0.4915254237288136]",B0,aptos2019,8,2930,732
100,0.19826237857341766,0.9344709897610921,0.654565624829487,"[0.9778393351800554, 0.6756756756756757, 0.75, 0.39473684210526316, 0.4745762711864407]",B0,aptos2019,8,2930,732
125,0.17515528202056885,0.9457337883959044,0.6529554553379616,"[0.9778393351800554, 0.6756756756756757, 0.725, 0.39473684210526316, 0.4915254237288136]",B0,aptos2019,8,2930,732
150,0.15680545568466187,0.9546075085324232,0.6502527526352588,"[0.9778393351800554, 0.6621621621621622, 0.725, 0.39473684210526316, 0.4915254237288136]",B0,aptos2019,8,2930,732
175,0.14150100946426392,0.9604095563139932,0.644989594740522,"[0.9778393351800554, 0.6621621621621622, 0.725, 0.3684210526315789, 0.4915254237288136]",B0,aptos2019,8,2930,732
200,0.12847791612148285,0.9665529010238908,0.6385841893351165,"[0.9778393351800554, 0.6351351351351351, 0.72, 0.3684210526315789, 0.4915254237288136]",B0,aptos2019,8,2930,732
25,0.3989567458629608,0.8627986348122867,0.6439971114227178,"[0.9806094182825484, 0.6081081081081081, 0.7638190954773869, 0.358974358974359, 0.5084745762711864]",B0,aptos2019,9,2930,732
50,0.2676782011985779,0.9078498293515358,0.6170877312949947,"[0.9778393351800554, 0.5675675675675675, 0.8090452261306532, 0.2564102564102564, 0.4745762711864407]",B0,aptos2019,9,2930,732
75,0.22107015550136566,0.9245733788395905,0.6005187579111473,"[0.9806094182825484, 0.5675675675675675, 0.8090452261306532, 0.15384615384615385, 0.4915254237288136]",B0,aptos2019,9,2930,732
100,0.19175012409687042,0.9358361774744027,0.5995544298281751,"[0.9806094182825484, 0.5540540540540541, 0.8090452261306532, 0.1794871794871795, 0.4745762711864407]",B0,aptos2019,9,2930,732
125,0.1696784645318985,0.9450511945392491,0.5929079513811947,"[0.9722991689750693, 0.5405405405405406, 0.7889447236180904, 0.20512820512820512, 0.4576271186440678]",B0,aptos2019,9,2930,732
150,0.15182846784591675,0.9535836177474403,0.5908979011299385,"[0.9722991689750693, 0.5405405405405406, 0.7788944723618091, 0.20512820512820512, 0.4576271186440678]",B0,aptos2019,9,2930,732
175,0.13698984682559967,0.9600682593856655,0.5921445702018835,"[0.9750692520775623, 0.5540540540540541, 0.7688442211055276, 0.20512820512820512, 0.4576271186440678]",B0,aptos2019,9,2930,732
200,0.12442202121019363,0.9648464163822525,0.5892626060102722,"[0.9722991689750693, 0.5405405405405406, 0.7537688442211056, 0.20512820512820512, 0.4745762711864407]",B0,aptos2019,9,2930,732
25,0.42786991596221924,0.8569477637418914,0.6595062201033842,"[0.9916897506925207, 0.6351351351351351, 0.795, 0.3333333333333333, 0.5423728813559322]",B0,aptos2019,10,2929,733
50,0.288307249546051,0.903038579720041,0.6502494259130721,"[0.9944598337950139, 0.581081081081081, 0.8, 0.3333333333333333, 0.5423728813559322]",B0,aptos2019,10,2929,733
75,0.2359057068824768,0.9235233868214408,0.6522289449590731,"[0.997229916897507, 0.5675675675675675, 0.795, 0.358974358974359, 0.5423728813559322]",B0,aptos2019,10,2929,733
100,0.20452703535556793,0.9344486172755206,0.6605058361694823,"[0.9944598337950139, 0.581081081081081, 0.8, 0.38461538461538464, 0.5423728813559322]",B0,aptos2019,10,2929,733
125,0.18142293393611908,0.9423011266643906,0.6757622464258927,"[0.9944598337950139, 0.581081081081081, 0.825, 0.4358974358974359, 0.5423728813559322]",B0,aptos2019,10,2929,733
150,0.16279470920562744,0.9484465687948105,0.6710595437231899,"[0.9944598337950139, 0.5675675675675675, 0.815, 0.4358974358974359, 0.5423728813559322]",B0,aptos2019,10,2929,733
175,0.1472145915031433,0.9556162512803005,0.6714698551856634,"[0.9916897506925207, 0.581081081081081, 0.815, 0.41025641025641024, 0.559322033898305]",B0,aptos2019,10,2929,733
200,0.13395503163337708,0.9610788665073404,0.6643416500574583,"[0.9916897506925207, 0.581081081081081, 0.805, 0.38461538461538464, 0.559322033898305]",B0,aptos2019,10,2929,733
