dataset,arm,mode,fold,bacc,per_class_recall,n_train,n_test,exploratory
aptos2019,B1,full,4,0.6346849613698672,"[0.9778393351800554, 0.6621621621621622, 0.5125628140703518, 0.46153846153846156, 0.559322033898305]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,offset,4,0.6295757386355219,"[0.9750692520775623, 0.5945945945945946, 0.5577889447236181, 0.41025641025641024, 0.6101694915254238]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,scale,4,0.6366894869754489,"[0.9778393351800554, 0.6351351351351351, 0.5326633165829145, 0.46153846153846156, 0.576271186440678]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,none,5,0.6333829364546769,"[0.9916897506925207, 0.581081081081081, 0.625, 0.358974358974359, 0.6101694915254238]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,full,5,0.6583385491730015,"[0.9916897506925207, 0.7702702702702703, 0.415, 0.5384615384615384, 0.576271186440678]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,offset,5,0.6649020688408454,"[0.9861495844875346, 0.7297297297297297, 0.46, 0.5384615384615384, 0.6101694915254238]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,scale,5,0.6596358464702987,"[0.9916897506925207, 0.7567567567567568, 0.435, 0.5384615384615384, 0.576271186440678]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,none,6,0.7017784607029173,"[0.9806094182825484, 0.7027027027027027, 0.66, 0.5384615384615384, 0.6271186440677966]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,full,6,0.7035743191428434,"[0.9806094182825484, 0.8243243243243243, 0.47, 0.6666666666666666, 0.576271186440678]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,offset,6,0.704692164497977,"[0.9806094182825484, 0.7972972972972973, 0.52, 0.6153846153846154, 0.6101694915254238]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,scale,6,0.6974662110347353,"[0.9806094182825484, 0.7837837837837838, 0.48, 0.6666666666666666, 0.576271186440678]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,none,7,0.6726985888184067,"[0.9806094182825484, 0.6756756756756757, 0.68, 0.5526315789473685, 0.4745762711864407]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,full,7,0.6651444998686654,"[0.9778393351800554, 0.7297297297297297, 0.45, 0.7105263157894737, 0.4576271186440678]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,offset,7,0.6857755496705212,"[0.9750692520775623, 0.7567567567567568, 0.495, 0.7105263157894737, 0.4915254237288136]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,scale,7,0.6709552358123653,"[0.9833795013850416, 0.7432432432432432, 0.46, 0.7105263157894737, 0.4576271186440678]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,none,8,0.6370742745186616,"[0.96398891966759, 0.7027027027027027, 0.64, 0.42105263157894735, 0.4576271186440678]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,full,8,0.6705090176800585,"[0.9722991689750693, 0.7432432432432432, 0.48, 0.631578947368421, 0.5254237288135594]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,offset,8,0.6711500273455295,"[0.96398891966759, 0.7567567567567568, 0.54, 0.5526315789473685, 0.5423728813559322]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,scale,8,0.6708063149773559,"[0.9722991689750693, 0.7297297297297297, 0.495, 0.631578947368421, 0.5254237288135594]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,none,9,0.6073471446234601,"[0.9667590027700831, 0.5945945945945946, 0.6683417085427136, 0.23076923076923078, 0.576271186440678]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,full,9,0.613273472174862,"[0.9667590027700831, 0.6486486486486487, 0.5326633165829145, 0.358974358974359, 0.559322033898305]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,offset,9,0.6290929060614853,"[0.961218836565097, 0.6216216216216216, 0.5678391959798995, 0.38461538461538464, 0.6101694915254238]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,scale,9,0.6067299304585553,"[0.9695290858725761, 0.6351351351351351, 0.5276381909547738, 0.358974358974359, 0.5423728813559322]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,none,10,0.6824855952392458,"[0.9833795013850416, 0.6486486486486487, 0.7, 0.48717948717948717, 0.5932203389830508]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,full,10,0.6922976621321144,"[0.9916897506925207, 0.7837837837837838, 0.52, 0.5897435897435898, 0.576271186440678]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,offset,10,0.6860553519133266,"[0.9778393351800554, 0.7162162162162162, 0.545, 0.5641025641025641, 0.6271186440677966]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
