arm,dataset,fold,n_train,n_val,n_test,best_val_bacc,epochs_run,bacc,mcc,macro_mae,classmean_mae,per_class_recall,image_root,dp_on,lp,blocks,aug,std,wce,train_ce_best,bmix,alpha,split,splits_sha256
w16_lpft2,oral_diseases,7,371,42,103,0.8387755102040817,40,0.7969687476266424,0.7618840353442482,0.3398058252427184,0.3285011771853877,"[0.9375, 1.0, 0.75, 0.7222222222222222, 0.8181818181818182, 0.6842105263157895, 0.6666666666666666]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,True,"[22, 23]",,,,,,,,
w16_lpft2,oral_diseases,8,371,42,103,0.866326530612245,27,0.7907536907536908,0.7540258643778655,0.5533980582524272,0.5286602286602287,"[0.8666666666666667, 1.0, 0.46153846153846156, 0.7777777777777778, 0.8181818181818182, 0.6111111111111112, 1.0]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,True,"[22, 23]",,,,,,,,
w16_lpft2,oral_diseases,9,371,42,103,0.8034013605442176,31,0.7288646295225243,0.6922354000608364,0.4271844660194174,0.4328304736199473,"[0.9375, 0.9333333333333333, 0.6666666666666666, 0.6111111111111112, 0.5, 0.6842105263157895, 0.7692307692307693]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,True,"[22, 23]",,,,,,,,
w16_lpft2,oral_diseases,10,370,42,104,0.786734693877551,29,0.8242426433215906,0.7977400336818744,0.2596153846153846,0.2528732232679601,"[0.9375, 1.0, 0.75, 0.6666666666666666, 0.7272727272727273, 0.8421052631578947, 0.8461538461538461]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,True,"[22, 23]",,,,,,,,
w16_lpft2,oral_diseases,11,371,42,103,0.7255102040816326,26,0.7341317308422572,0.6818442343802339,0.5631067961165048,0.5451982228298018,"[0.8125, 1.0, 0.75, 0.6111111111111112, 0.6363636363636364, 0.5789473684210527, 0.75]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,True,"[22, 23]",,,,,,,,
w16_lpft2,oral_diseases,12,371,42,103,0.7744897959183674,33,0.8088735095314042,0.762421199474364,0.3689320388349514,0.3360199741778689,"[0.9375, 1.0, 0.8333333333333334, 0.5555555555555556, 0.8181818181818182, 0.6842105263157895, 0.8333333333333334]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,True,"[22, 23]",,,,,,,,
w16_lpft2,oral_diseases,13,371,42,103,0.8724489795918368,35,0.7630702630702632,0.7279600379391391,0.4854368932038835,0.4824730824730824,"[0.8, 0.8666666666666667, 0.8461538461538461, 0.7222222222222222, 0.6363636363636364, 0.7777777777777778, 0.6923076923076923]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,True,"[22, 23]",,,,,,,,
w16_lpft2,oral_diseases,14,371,42,103,0.755952380952381,31,0.7719450870766659,0.7386647023876177,0.4174757281553398,0.3995774693143114,"[0.8125, 1.0, 0.9166666666666666, 0.7222222222222222, 0.6, 0.7368421052631579, 0.6153846153846154]",/home/junkim/paper_ajou_dev/PanDerm/data/Oral_Diseases/,True,True,"[22, 23]",,,,,,,,
w16_ft2,aptos2019,0,2636,293,733,0.7358333333333333,26,0.6782301121832086,0.7705960368977268,0.1978171896316507,0.4117515644086375,"[0.9916897506925207, 0.6891891891891891, 0.835, 0.28205128205128205, 0.5932203389830508]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,"[22, 23]",,,,,,,,
w16_ft2,aptos2019,1,2636,293,733,0.6916666666666667,17,0.6345503886078092,0.7352745570739885,0.233287858117326,0.4702628293709565,"[0.9861495844875346, 0.43243243243243246, 0.845, 0.28205128205128205, 0.6271186440677966]",/home/junkim/paper_ajou_dev/PanDerm/data/aptos2019_rs256/,True,False,"[22, 23]",,,,,,,,
