dataset,arm,fold,variant,n,sample_mae,classmean_mae
aptos2019,B2,4,leakfree,689,0.24528301886792453,0.4892709498196964
aptos2019,B2,4,conflict_excluded,685,0.24233576642335766,0.4842384432311858
aptos2019,B2,5,full,733,0.24693042291950887,0.4917599266842423
aptos2019,B2,5,leakfree,698,0.24355300859598855,0.5010008752631704
aptos2019,B2,5,conflict_excluded,695,0.24172661870503598,0.4978499278499278
aptos2019,B2,6,full,733,0.20600272851296045,0.39792734656089745
aptos2019,B2,6,leakfree,697,0.2065997130559541,0.4084160628655842
aptos2019,B2,6,conflict_excluded,695,0.20431654676258992,0.4037701201257626
aptos2019,B2,7,full,732,0.2336065573770492,0.46224540170011785
aptos2019,B2,7,leakfree,695,0.21726618705035972,0.4515015812776724
aptos2019,B2,7,conflict_excluded,695,0.21726618705035972,0.4515015812776724
aptos2019,B2,8,full,732,0.22540983606557377,0.43305918054774806
aptos2019,B2,8,leakfree,685,0.21751824817518248,0.4400616578055391
aptos2019,B2,8,conflict_excluded,683,0.21669106881405564,0.4380102110617372
aptos2019,B2,9,full,732,0.27459016393442626,0.55394659080448
aptos2019,B2,9,leakfree,691,0.2633863965267728,0.547208513329198
aptos2019,B2,9,conflict_excluded,689,0.2612481857764877,0.5438780178873923
aptos2019,B2,10,full,733,0.22373806275579808,0.4500811192792506
aptos2019,B2,10,leakfree,688,0.22819767441860464,0.4777457158937549
aptos2019,B2,10,conflict_excluded,688,0.22819767441860464,0.4777457158937549
aptos2019,B2,11,full,733,0.24829467939972716,0.4760565420108122
aptos2019,B2,11,leakfree,699,0.2474964234620887,0.486008081008081
aptos2019,B2,11,conflict_excluded,697,0.2467718794835007,0.48637412380506306
aptos2019,B2,12,full,732,0.24453551912568305,0.4983848042605731
aptos2019,B2,12,leakfree,693,0.24386724386724387,0.5116541282271619
aptos2019,B2,12,conflict_excluded,689,0.2409288824383164,0.5070923416206435
aptos2019,B2,13,full,732,0.21994535519125682,0.4493337905725811
aptos2019,B2,13,leakfree,688,0.2136627906976744,0.45954865061128325
aptos2019,B2,13,conflict_excluded,684,0.20906432748538012,0.4516428110839388
aptos2019,B2,14,full,732,0.20901639344262296,0.3995742228617955
aptos2019,B2,14,leakfree,689,0.19738751814223512,0.3910413575012367
aptos2019,B2,14,conflict_excluded,687,0.1950509461426492,0.3918247501086484
aptos2019,B3,0,full,733,0.2551159618008186,0.362826231678666
aptos2019,B3,0,leakfree,694,0.24639769452449567,0.36630003517268983
aptos2019,B3,0,conflict_excluded,692,0.24566473988439305,0.3645886278231027
aptos2019,B3,1,full,733,0.27967257844474763,0.41554913711343594
aptos2019,B3,1,leakfree,702,0.2720797720797721,0.40577803975477256
aptos2019,B3,1,conflict_excluded,698,0.2679083094555874,0.40262081961642027
aptos2019,B3,2,full,732,0.28688524590163933,0.40537348029281917
aptos2019,B3,2,leakfree,690,0.2768115942028985,0.40699313783671326
