bacc,mcc,macro_mae,per_class_recall,rank_violation_rows,head,lr,epochs,train_loss,grad_norm,w_norm,bias_ordered,biases,arm,setting,dataset,fold,n_train,n_test,feats,lever,recall_no_dr,recall_mild,recall_moderate,recall_severe,recall_prolif
0.5467352211558513,0.5085615339195495,0.4815825375170532,"[0.7922437673130194, 0.47297297297297297, 0.425, 0.1282051282051282, 0.9152542372881356]",0,coral_true,0.01,200,1.2296316623687744,0.21291156113147736,1.7388863563537598,True,"[1.0794256925582886, -0.34269094467163086, -1.3885931968688965, -1.7031153440475464]",B3c_prereg,prereg,aptos2019,6,2929,733,panderm,rebalance,0.7922437673130194,0.47297297297297297,0.425,0.1282051282051282,0.9152542372881356
0.6986790627535734,0.6972650121665909,0.2592087312414734,"[0.9501385041551247, 0.7027027027027027, 0.615, 0.6153846153846154, 0.6101694915254238]",544,legacy,0.01,200,0.5525655150413513,0.09843740612268448,6.173645973205566,True,"[0.4222162365913391, -0.7039893865585327, -1.442454218864441, -1.4801069498062134]",B3_prereg,prereg,aptos2019,6,2929,733,panderm,rebalance,0.9501385041551247,0.7027027027027027,0.615,0.6153846153846154,0.6101694915254238
0.5835331921432678,0.5779729373617949,0.3620218579234973,"[0.9362880886426593, 0.5540540540540541, 0.43, 0.42105263157894735, 0.576271186440678]",0,coral_true,0.03,800,0.6050261855125427,1.8515199422836304,8.527824401855469,True,"[1.6984686851501465, -2.474979877471924, -5.378764629364014, -7.704654216766357]",B3c_conv,conv,aptos2019,7,2930,732,panderm,rebalance,0.9362880886426593,0.5540540540540541,0.43,0.42105263157894735,0.576271186440678
0.6324127512648101,0.6675989946931162,0.2827868852459016,"[0.96398891966759, 0.581081081081081, 0.65, 0.5263157894736842, 0.4406779661016949]",525,legacy,0.03,800,0.12225815653800964,0.00839187204837799,25.06297492980957,True,"[1.114216923713684, -2.01930832862854, -5.320339202880859, -5.443020343780518]",B3_conv,conv,aptos2019,7,2930,732,panderm,rebalance,0.96398891966759,0.581081081081081,0.65,0.5263157894736842,0.4406779661016949
0.5188792012821309,0.5565449139130716,0.37158469945355194,"[0.9141274238227147, 0.6891891891891891, 0.5, 0.23684210526315788, 0.2542372881355932]",0,coral_true,0.3,400,0.8746296167373657,3.688227653503418,18.331499099731445,True,"[3.501481294631958, -7.995327949523926, -15.161937713623047, -19.661460876464844]",B3c_convAlt,convAlt,aptos2019,7,2930,732,panderm,rebalance,0.9141274238227147,0.6891891891891891,0.5,0.23684210526315788,0.2542372881355932
0.6153917960873686,0.665472009071628,0.2814207650273224,"[0.9722991689750693, 0.5135135135135135, 0.675, 0.5263157894736842, 0.3898305084745763]",414,legacy,0.3,400,0.047566007822752,0.002967609092593193,71.5230712890625,False,"[6.341355800628662, -4.14985990524292, -16.16106414794922, -14.48434829711914]",B3_convAlt,convAlt,aptos2019,7,2930,732,panderm,rebalance,0.9722991689750693,0.5135135135135135,0.675,0.5263157894736842,0.3898305084745763
0.5241908692579147,0.4810806458963747,0.5040983606557377,"[0.7534626038781164, 0.5675675675675675, 0.415, 0.10526315789473684, 0.7796610169491526]",0,coral_true,0.01,200,1.2214488983154297,0.21198585629463196,1.6834596395492554,True,"[1.0915541648864746, -0.327244371175766, -1.3859739303588867, -1.7034142017364502]",B3c_prereg,prereg,aptos2019,7,2930,732,panderm,rebalance,0.7534626038781164,0.5675675675675675,0.415,0.10526315789473684,0.7796610169491526
0.6610944911764669,0.6613999931037893,0.2923497267759563,"[0.9362880886426593, 0.7432432432432432, 0.58, 0.6052631578947368, 0.4406779661016949]",539,legacy,0.01,200,0.5347728133201599,0.09703108668327332,6.194843292236328,True,"[0.41238585114479065, -0.7046354413032532, -1.4352688789367676, -1.4842547178268433]",B3_prereg,prereg,aptos2019,7,2930,732,panderm,rebalance,0.9362880886426593,0.7432432432432432,0.58,0.6052631578947368,0.4406779661016949
0.5938087005734312,0.5820191631845703,0.366120218579235,"[0.9224376731301939, 0.6486486486486487, 0.41, 0.39473684210526316, 0.5932203389830508]",0,coral_true,0.03,800,0.5657068490982056,0.26501360535621643,8.750680923461914,True,"[1.7083688974380493, -2.5524396896362305, -5.448495864868164, -7.778629302978516]",B3c_conv,conv,aptos2019,8,2930,732,panderm,rebalance,0.9224376731301939,0.6486486486486487,0.41,0.39473684210526316,0.5932203389830508
0.6142643621131814,0.6611603842897182,0.28415300546448086,"[0.9501385041551247, 0.6351351351351351, 0.66, 0.3684210526315789, 0.4576271186440678]",530,legacy,0.03,800,0.12427575141191483,0.008778919465839863,25.05642318725586,True,"[1.163059115409851, -2.4666593074798584, -5.220154762268066, -5.310989856719971]",B3_conv,conv,aptos2019,8,2930,732,panderm,rebalance,0.9501385041551247,0.6351351351351351,0.66,0.3684210526315789,0.4576271186440678
0.5423583254130697,0.5399508317849737,0.39207650273224043,"[0.8808864265927978, 0.7027027027027027, 0.415, 0.2894736842105263, 0.423728813559322]",0,coral_true,0.3,400,0.6407265663146973,1.8605515956878662,18.060457229614258,True,"[3.0321173667907715, -7.34940767288208, -13.704169273376465, -18.3775691986084]",B3c_convAlt,convAlt,aptos2019,8,2930,732,panderm,rebalance,0.8808864265927978,0.7027027027027027,0.415,0.2894736842105263,0.423728813559322
0.6166056114803004,0.6632599235311976,0.28005464480874315,"[0.9501385041551247, 0.6081081081081081, 0.68, 0.42105263157894735, 0.423728813559322]",477,legacy,0.3,400,0.04943525418639183,0.0026425106916576624,65.35968017578125,True,"[5.907264709472656, -4.792551517486572, -11.904305458068848, -12.076478958129883]",B3_convAlt,convAlt,aptos2019,8,2930,732,panderm,rebalance,0.9501385041551247,0.6081081081081081,0.68,0.42105263157894735,0.423728813559322
0.5200903227280051,0.49195014859820285,0.49863387978142076,"[0.7728531855955678, 0.6216216216216216, 0.4, 0.02631578947368421, 0.7796610169491526]",0,coral_true,0.01,200,1.2307078838348389,0.21350008249282837,1.6366342306137085,True,"[1.079202651977539, -0.3439137935638428, -1.3880600929260254, -1.7025039196014404]",B3c_prereg,prereg,aptos2019,8,2930,732,panderm,rebalance,0.7728531855955678,0.6216216216216216,0.4,0.02631578947368421,0.7796610169491526
0.6831477711807304,0.669400410904098,0.27595628415300544,"[0.9418282548476454, 0.6621621621621622, 0.57, 0.631578947368421, 0.6101694915254238]",543,legacy,0.01,200,0.5505281686782837,0.09767122566699982,6.077316761016846,True,"[0.4133630692958832, -0.7322525978088379, -1.4368937015533447, -1.4774147272109985]",B3_prereg,prereg,aptos2019,8,2930,732,panderm,rebalance,0.9418282548476454,0.6621621621621622,0.57,0.631578947368421,0.6101694915254238
0.5627670969822594,0.5655685073343012,0.3633879781420765,"[0.9030470914127424, 0.6081081081081081, 0.47738693467336685, 0.38461538461538464, 0.4406779661016949]",0,coral_true,0.03,800,0.5643646121025085,0.036814890801906586,8.561041831970215,True,"[1.7300516366958618, -2.450315475463867, -5.446742057800293, -7.789599418640137]",B3c_conv,conv,aptos2019,9,2930,732,panderm,rebalance,0.9030470914127424,0.6081081081081081,0.47738693467336685,0.38461538461538464,0.4406779661016949
0.6220938475188504,0.6671466628037722,0.28825136612021857,"[0.9556786703601108, 0.581081081081081, 0.6884422110552764, 0.46153846153846156, 0.423728813559322]",549,legacy,0.03,800,0.12216374278068542,0.008629505522549152,24.635805130004883,True,"[1.1295565366744995, -1.7881568670272827, -5.185462474822998, -5.325257301330566]",B3_conv,conv,aptos2019,9,2930,732,panderm,rebalance,0.9556786703601108,0.581081081081081,0.6884422110552764,0.46153846153846156,0.423728813559322
0.5395600206559317,0.5547659240796708,0.3674863387978142,"[0.8975069252077562, 0.581081081081081, 0.5125628140703518, 0.38461538461538464, 0.3220338983050847]",0,coral_true,0.3,400,0.7205256223678589,1.849002718925476,17.800121307373047,True,"[3.5694684982299805, -6.196718215942383, -13.154229164123535, -18.717700958251953]",B3c_convAlt,convAlt,aptos2019,9,2930,732,panderm,rebalance,0.8975069252077562,0.581081081081081,0.5125628140703518,0.38461538461538464,0.3220338983050847
0.5499278476575874,0.5553046600675465,0.37841530054644806,"[0.8670360110803325, 0.2972972972972973, 0.6231155778894473, 0.5384615384615384, 0.423728813559322]",466,legacy,0.3,400,2.4980862140655518,2.320213794708252,68.18243408203125,True,"[5.810232162475586, -3.9615180492401123, -11.488117218017578, -13.955020904541016]",B3_convAlt,convAlt,aptos2019,9,2930,732,panderm,rebalance,0.8670360110803325,0.2972972972972973,0.6231155778894473,0.5384615384615384,0.423728813559322
