cls,n_pos,prevalence,mean_p,ovr_intercept,ovr_slope,ovr_converged,ovr_brier,cw_ece_em,cw_ece_db,dataset,arm,scaling,repeat,exploratory
4,54,0.10465116279069768,0.1165392924867367,-0.05893398110824631,1.1376655152500703,True,0.05451715810625278,0.022480330123436268,0.0,oral_diseases,A2,temp,0,탐색적/exploratory
5,94,0.1821705426356589,0.17882599616418826,-0.07246708014579213,0.8558141270658567,True,0.09148144370051559,0.035821661150858906,0.0,oral_diseases,A2,temp,0,탐색적/exploratory
6,63,0.12209302325581395,0.1258264550905923,0.2636648257104536,1.3139056696796438,True,0.04756073185899341,0.03754065346702533,0.036484860389366554,oral_diseases,A2,temp,0,탐색적/exploratory
0,79,0.15310077519379844,0.15381985014670965,0.2220141163577115,1.2728504387200794,True,0.02793086188448023,0.016135969370310962,0.0,oral_diseases,A2,temp,1,탐색적/exploratory
1,75,0.14534883720930233,0.16117684613674513,-0.8690251875233842,1.2671862462149903,True,0.016036854637625268,0.016426977587960988,0.018645971913355378,oral_diseases,A2,temp,1,탐색적/exploratory
2,61,0.1182170542635659,0.11229381655743743,0.13054652730965957,1.0042805823063665,True,0.05105271230798045,0.0192323504357333,0.0,oral_diseases,A2,temp,1,탐색적/exploratory
3,90,0.1744186046511628,0.15419480412713565,0.21020462878416982,0.9476232029409566,True,0.08333006019609317,0.03474775599786371,0.02845054678943339,oral_diseases,A2,temp,1,탐색적/exploratory
4,54,0.10465116279069768,0.12180107793199337,-0.09265818354633645,1.2772543323181427,True,0.046923187118387985,0.02393699502655251,0.0,oral_diseases,A2,temp,1,탐색적/exploratory
5,94,0.1821705426356589,0.16916707265219647,0.1276887953852463,0.9644184096333377,True,0.07960333321995507,0.04121651859066326,0.04791396457570474,oral_diseases,A2,temp,1,탐색적/exploratory
6,63,0.12209302325581395,0.12754653244778236,0.19565499865237224,1.2975453126937424,True,0.04376654136420585,0.021664220561578285,0.0,oral_diseases,A2,temp,1,탐색적/exploratory
0,79,0.15310077519379844,0.15363409905379258,0.456479184709715,1.5278524860830471,True,0.027233340231415274,0.027151741031510336,0.038156801429629336,oral_diseases,A2,temp,2,탐색적/exploratory
1,75,0.14534883720930233,0.15943452343184505,-0.732924542711064,2.063891667372595,True,0.010166622009448126,0.026863828475554064,0.04634148847201553,oral_diseases,A2,temp,2,탐색적/exploratory
2,61,0.1182170542635659,0.11637720051364234,0.2610517848806634,1.190643298047814,True,0.04300259372983235,0.022820671040150935,0.018428151584118153,oral_diseases,A2,temp,2,탐색적/exploratory
3,90,0.1744186046511628,0.15498562134549848,0.1129342676082973,0.8651588748665587,True,0.08969459670611266,0.03505764197279466,0.02925369194361425,oral_diseases,A2,temp,2,탐색적/exploratory
4,54,0.10465116279069768,0.11924424529105819,-0.22296038790519296,1.0281863760540184,True,0.052634816923964295,0.02216297808157297,0.0,oral_diseases,A2,temp,2,탐색적/exploratory
5,94,0.1821705426356589,0.1701538461906117,-0.018118070301343936,0.8294857010122366,True,0.08814050429894654,0.039091739804746124,0.018533365845966744,oral_diseases,A2,temp,2,탐색적/exploratory
6,63,0.12209302325581395,0.12617046417355166,0.2463121061770087,1.2803020293138208,True,0.04895139878158839,0.019980674301223425,0.0,oral_diseases,A2,temp,2,탐색적/exploratory
0,79,0.15310077519379844,0.15057588413599873,0.2346612002121507,1.162692710725419,True,0.044797259106420365,0.01899081038401866,0.0,oral_diseases,A2d,temp,0,탐색적/exploratory
1,75,0.14534883720930233,0.15936126954210172,-0.37190916598779983,1.2792776517847222,True,0.017362450150136925,0.014514129911353434,0.0,oral_diseases,A2d,temp,0,탐색적/exploratory
2,61,0.1182170542635659,0.11259195137048517,0.22286675907655684,1.104988335881478,True,0.057707424843961984,0.025820422232854516,0.018764757938886933,oral_diseases,A2d,temp,0,탐색적/exploratory
3,90,0.1744186046511628,0.15462762258670568,0.04857586413353198,0.8271452222950512,True,0.09508621101541935,0.048458422032411935,0.046573491351781154,oral_diseases,A2d,temp,0,탐색적/exploratory
