dataset,rep,space,fold,i,j,i_name,j_name,cdnv,exploratory
aptos2019,frozen,raw,8,1,4,mild,proliferative,4.060657609678786,탐색적/exploratory
aptos2019,frozen,raw,8,2,3,moderate,severe,6.261554185392427,탐색적/exploratory
aptos2019,frozen,raw,8,2,4,moderate,proliferative,12.124624105483857,탐색적/exploratory
aptos2019,frozen,raw,8,3,4,severe,proliferative,11.559807880912848,탐색적/exploratory
aptos2019,frozen,train_std,9,0,1,no_dr,mild,1.1978567679376109,탐색적/exploratory
aptos2019,frozen,train_std,9,0,2,no_dr,moderate,1.40649018731027,탐색적/exploratory
aptos2019,frozen,train_std,9,0,3,no_dr,severe,1.1724446026022235,탐색적/exploratory
aptos2019,frozen,train_std,9,0,4,no_dr,proliferative,1.3175934664846223,탐색적/exploratory
aptos2019,frozen,train_std,9,1,2,mild,moderate,3.911567898196523,탐색적/exploratory
aptos2019,frozen,train_std,9,1,3,mild,severe,2.8826193155713224,탐색적/exploratory
aptos2019,frozen,train_std,9,1,4,mild,proliferative,4.519506757002413,탐색적/exploratory
aptos2019,frozen,train_std,9,2,3,moderate,severe,12.103332728443485,탐색적/exploratory
aptos2019,frozen,train_std,9,2,4,moderate,proliferative,11.652653864734395,탐색적/exploratory
aptos2019,frozen,train_std,9,3,4,severe,proliferative,13.417333407996319,탐색적/exploratory
aptos2019,frozen,raw,9,0,1,no_dr,mild,0.9322571577256928,탐색적/exploratory
aptos2019,frozen,raw,9,0,2,no_dr,moderate,1.1075847514467674,탐색적/exploratory
aptos2019,frozen,raw,9,0,3,no_dr,severe,0.9415580833164474,탐색적/exploratory
aptos2019,frozen,raw,9,0,4,no_dr,proliferative,1.0198821287453699,탐색적/exploratory
aptos2019,frozen,raw,9,1,2,mild,moderate,3.7234250565142846,탐색적/exploratory
aptos2019,frozen,raw,9,1,3,mild,severe,2.91484359828538,탐색적/exploratory
aptos2019,frozen,raw,9,1,4,mild,proliferative,4.3747719736785085,탐색적/exploratory
aptos2019,frozen,raw,9,2,3,moderate,severe,13.366044203699774,탐색적/exploratory
aptos2019,frozen,raw,9,2,4,moderate,proliferative,11.629141770165775,탐색적/exploratory
aptos2019,frozen,raw,9,3,4,severe,proliferative,15.708534583783305,탐색적/exploratory
aptos2019,frozen,train_std,10,0,1,no_dr,mild,1.2133516385584122,탐색적/exploratory
aptos2019,frozen,train_std,10,0,2,no_dr,moderate,1.427132021636325,탐색적/exploratory
aptos2019,frozen,train_std,10,0,3,no_dr,severe,1.0640582434058525,탐색적/exploratory
aptos2019,frozen,train_std,10,0,4,no_dr,proliferative,1.2259982664108184,탐색적/exploratory
aptos2019,frozen,train_std,10,1,2,mild,moderate,5.6693058456919525,탐색적/exploratory
aptos2019,frozen,train_std,10,1,3,mild,severe,2.651631946088551,탐색적/exploratory
aptos2019,frozen,train_std,10,1,4,mild,proliferative,5.16182808863421,탐색적/exploratory
aptos2019,frozen,train_std,10,2,3,moderate,severe,9.983748460200879,탐색적/exploratory
aptos2019,frozen,train_std,10,2,4,moderate,proliferative,15.392082516117936,탐색적/exploratory
aptos2019,frozen,train_std,10,3,4,severe,proliferative,12.14863500890717,탐색적/exploratory
aptos2019,frozen,raw,10,0,1,no_dr,mild,0.9533755593166156,탐색적/exploratory
aptos2019,frozen,raw,10,0,2,no_dr,moderate,1.1378604713453857,탐색적/exploratory
aptos2019,frozen,raw,10,0,3,no_dr,severe,0.8362280395116458,탐색적/exploratory
aptos2019,frozen,raw,10,0,4,no_dr,proliferative,0.9578131868152141,탐색적/exploratory
aptos2019,frozen,raw,10,1,2,mild,moderate,5.600220149686311,탐색적/exploratory
aptos2019,frozen,raw,10,1,3,mild,severe,2.5771537236587942,탐색적/exploratory
aptos2019,frozen,raw,10,1,4,mild,proliferative,5.145042109360013,탐색적/exploratory
aptos2019,frozen,raw,10,2,3,moderate,severe,9.363638000848262,탐색적/exploratory
aptos2019,frozen,raw,10,2,4,moderate,proliferative,15.522179095205674,탐색적/exploratory
aptos2019,frozen,raw,10,3,4,severe,proliferative,12.528178695430407,탐색적/exploratory
aptos2019,frozen,train_std,11,0,1,no_dr,mild,1.459947466158843,탐색적/exploratory
aptos2019,frozen,train_std,11,0,2,no_dr,moderate,1.3348474006963438,탐색적/exploratory
aptos2019,frozen,train_std,11,0,3,no_dr,severe,0.9791914566689959,탐색적/exploratory
aptos2019,frozen,train_std,11,0,4,no_dr,proliferative,1.3100933021851184,탐색적/exploratory
aptos2019,frozen,train_std,11,1,2,mild,moderate,7.566991354926016,탐색적/exploratory
aptos2019,frozen,train_std,11,1,3,mild,severe,2.827299897867879,탐색적/exploratory
aptos2019,frozen,train_std,11,1,4,mild,proliferative,5.145570566599304,탐색적/exploratory
aptos2019,frozen,train_std,11,2,3,moderate,severe,7.948906613670423,탐색적/exploratory
aptos2019,frozen,train_std,11,2,4,moderate,proliferative,13.470568720845524,탐색적/exploratory
aptos2019,frozen,train_std,11,3,4,severe,proliferative,10.351397605719475,탐색적/exploratory
aptos2019,frozen,raw,11,0,1,no_dr,mild,1.1590463524803305,탐색적/exploratory
aptos2019,frozen,raw,11,0,2,no_dr,moderate,1.0415183597042978,탐색적/exploratory
aptos2019,frozen,raw,11,0,3,no_dr,severe,0.763727532542748,탐색적/exploratory
aptos2019,frozen,raw,11,0,4,no_dr,proliferative,1.0364009722474665,탐색적/exploratory
aptos2019,frozen,raw,11,1,2,mild,moderate,7.517874140322053,탐색적/exploratory
aptos2019,frozen,raw,11,1,3,mild,severe,2.741793853478999,탐색적/exploratory
aptos2019,frozen,raw,11,1,4,mild,proliferative,5.067134835414273,탐색적/exploratory
aptos2019,frozen,raw,11,2,3,moderate,severe,7.646433782215028,탐색적/exploratory
aptos2019,frozen,raw,11,2,4,moderate,proliferative,14.12896328963143,탐색적/exploratory
aptos2019,frozen,raw,11,3,4,severe,proliferative,11.128287732826939,탐색적/exploratory
aptos2019,frozen,train_std,12,0,1,no_dr,mild,1.2520983759104105,탐색적/exploratory
aptos2019,frozen,train_std,12,0,2,no_dr,moderate,1.4803854980761748,탐색적/exploratory
