arm,dataset,repr,fold,n_train,n_test,bacc,mcc,macro_mae,per_class_recall,source,device,exploratory
B4,aptos2019,cls,9,2930,732,0.6192744777151151,0.6738345926337032,0.2991803278688524,"[0.9584487534626038, 0.6081081081081081, 0.6884422110552764, 0.28205128205128205, 0.559322033898305]",사전 등록 fold_scores_*.csv (읽기 전용),,탐색적/exploratory (사후 표현 · §B 판정 불변)
B4,aptos2019,cls,10,2929,733,0.6719828254327057,0.7015925967441654,0.2551159618008186,"[0.9806094182825484, 0.6621621621621622, 0.645, 0.5128205128205128, 0.559322033898305]",사전 등록 fold_scores_*.csv (읽기 전용),,탐색적/exploratory (사후 표현 · §B 판정 불변)
B4,aptos2019,cls,11,2929,733,0.6282434773453132,0.6639195558494391,0.2987721691678035,"[0.96398891966759, 0.7432432432432432, 0.6, 0.41025641025641024, 0.423728813559322]",사전 등록 fold_scores_*.csv (읽기 전용),,탐색적/exploratory (사후 표현 · §B 판정 불변)
B4,aptos2019,cls,12,2930,732,0.6747672521105545,0.7129677344680945,0.2691256830601093,"[0.9833795013850416, 0.7297297297297297, 0.675, 0.5789473684210527, 0.4067796610169492]",사전 등록 fold_scores_*.csv (읽기 전용),,탐색적/exploratory (사후 표현 · §B 판정 불변)
B4,aptos2019,cls,13,2930,732,0.6624598325260798,0.7126574793323068,0.25,"[0.9750692520775623, 0.7027027027027027, 0.705, 0.42105263157894735, 0.5084745762711864]",사전 등록 fold_scores_*.csv (읽기 전용),,탐색적/exploratory (사후 표현 · §B 판정 불변)
B4,aptos2019,cls,14,2930,732,0.6690050162108798,0.7108269743715441,0.2568306010928962,"[0.9806094182825484, 0.6486486486486487, 0.678391959798995, 0.41025641025641024, 0.6271186440677966]",사전 등록 fold_scores_*.csv (읽기 전용),,탐색적/exploratory (사후 표현 · §B 판정 불변)
B0,aptos2019,patchmean,0,2929,733,0.6412276029799389,0.7293701539572047,0.24556616643929058,"[0.9861495844875346, 0.5540540540540541, 0.815, 0.41025641025641024, 0.4406779661016949]",w11_patchmean_feats (block-23 patch-mean pre-norm),cuda,탐색적/exploratory (사후 표현 · §B 판정 불변)
B0,aptos2019,patchmean,1,2929,733,0.6321053962658263,0.7144574235777515,0.2605729877216917,"[0.9833795013850416, 0.6216216216216216, 0.765, 0.28205128205128205, 0.5084745762711864]",w11_patchmean_feats (block-23 patch-mean pre-norm),cuda,탐색적/exploratory (사후 표현 · §B 판정 불변)
B0,aptos2019,patchmean,2,2930,732,0.6605644168042402,0.7298350423016307,0.23770491803278687,"[0.9833795013850416, 0.6486486486486487, 0.76, 0.3684210526315789, 0.5423728813559322]",w11_patchmean_feats (block-23 patch-mean pre-norm),cuda,탐색적/exploratory (사후 표현 · §B 판정 불변)
B0,aptos2019,patchmean,3,2930,732,0.6535802835560102,0.7181332835809444,0.2527322404371585,"[0.9778393351800554, 0.5540540540540541, 0.765, 0.39473684210526316, 0.576271186440678]",w11_patchmean_feats (block-23 patch-mean pre-norm),cuda,탐색적/exploratory (사후 표현 · §B 판정 불변)
B0,aptos2019,patchmean,4,2930,732,0.6344621621165616,0.7194610867287571,0.2390710382513661,"[0.9916897506925207, 0.44594594594594594, 0.7989949748743719, 0.41025641025641024, 0.5254237288135594]",w11_patchmean_feats (block-23 patch-mean pre-norm),cuda,탐색적/exploratory (사후 표현 · §B 판정 불변)
B0,aptos2019,patchmean,5,2929,733,0.665916147631956,0.7533305047273458,0.2100954979536153,"[0.9916897506925207, 0.5945945945945946, 0.825, 0.358974358974359, 0.559322033898305]",w11_patchmean_feats (block-23 patch-mean pre-norm),cuda,탐색적/exploratory (사후 표현 · §B 판정 불변)
B0,aptos2019,patchmean,6,2929,733,0.6588698222974949,0.7202058302306574,0.24556616643929058,"[0.9916897506925207, 0.527027027027027, 0.73, 0.38461538461538464, 0.6610169491525424]",w11_patchmean_feats (block-23 patch-mean pre-norm),cuda,탐색적/exploratory (사후 표현 · §B 판정 불변)
B0,aptos2019,patchmean,7,2930,732,0.6404955568273094,0.7069149984728496,0.26229508196721313,"[0.9889196675900277, 0.5135135135135135, 0.75, 0.5263157894736842, 0.423728813559322]",w11_patchmean_feats (block-23 patch-mean pre-norm),cuda,탐색적/exploratory (사후 표현 · §B 판정 불변)
B0,aptos2019,patchmean,8,2930,732,0.631782514849701,0.7039103300756983,0.2540983606557377,"[0.9806094182825484, 0.6216216216216216, 0.74, 0.34210526315789475, 0.4745762711864407]",w11_patchmean_feats (block-23 patch-mean pre-norm),cuda,탐색적/exploratory (사후 표현 · §B 판정 불변)
B0,aptos2019,patchmean,9,2930,732,0.6171856700832865,0.7095356447300712,0.2718579234972678,"[0.9750692520775623, 0.5945945945945946, 0.7939698492462312, 0.23076923076923078, 0.4915254237288136]",w11_patchmean_feats (block-23 patch-mean pre-norm),cuda,탐색적/exploratory (사후 표현 · §B 판정 불변)
B0,aptos2019,patchmean,10,2929,733,0.6878448940874408,0.7580239168881919,0.21282401091405184,"[0.9889196675900277, 0.6216216216216216, 0.8, 0.38461538461538464, 0.6440677966101694]",w11_patchmean_feats (block-23 patch-mean pre-norm),cuda,탐색적/exploratory (사후 표현 · §B 판정 불변)
B0,aptos2019,patchmean,11,2929,733,0.6002113042374557,0.6877370186042306,0.26330150068212826,"[0.9806094182825484, 0.5405405405405406, 0.765, 0.358974358974359, 0.3559322033898305]",w11_patchmean_feats (block-23 patch-mean pre-norm),cuda,탐색적/exploratory (사후 표현 · §B 판정 불변)
B0,aptos2019,patchmean,12,2930,732,0.636196981713391,0.7225584028185448,0.25136612021857924,"[0.9889196675900277, 0.6486486486486487, 0.77, 0.3157894736842105, 0.4576271186440678]",w11_patchmean_feats (block-23 patch-mean pre-norm),cuda,탐색적/exploratory (사후 표현 · §B 판정 불변)
B0,aptos2019,patchmean,13,2930,732,0.6324915812568285,0.7071927181686635,0.26639344262295084,"[0.9833795013850416, 0.581081081081081, 0.755, 0.3684210526315789, 0.4745762711864407]",w11_patchmean_feats (block-23 patch-mean pre-norm),cuda,탐색적/exploratory (사후 표현 · §B 판정 불변)
B0,aptos2019,patchmean,14,2930,732,0.6528949715180649,0.7226490492031937,0.24726775956284153,"[0.9889196675900277, 0.581081081081081, 0.7587939698492462, 0.41025641025641024, 0.5254237288135594]",w11_patchmean_feats (block-23 patch-mean pre-norm),cuda,탐색적/exploratory (사후 표현 · §B 판정 불변)
B1,aptos2019,patchmean,0,2929,733,0.6757212000524363,0.7062719695726843,0.2783083219645293,"[0.9806094182825484, 0.6621621621621622, 0.655, 0.5384615384615384, 0.5423728813559322]",w11_patchmean_feats (block-23 patch-mean pre-norm),cuda,탐색적/exploratory (사후 표현 · §B 판정 불변)
B1,aptos2019,patchmean,1,2929,733,0.6907989416569162,0.7072910163102332,0.2783083219645293,"[0.9778393351800554, 0.7162162162162162, 0.62, 0.5128205128205128, 0.6271186440677966]",w11_patchmean_feats (block-23 patch-mean pre-norm),cuda,탐색적/exploratory (사후 표현 · §B 판정 불변)
B1,aptos2019,patchmean,2,2930,732,0.6782230951078785,0.7111617435794529,0.26639344262295084,"[0.9833795013850416, 0.7297297297297297, 0.645, 0.47368421052631576, 0.559322033898305]",w11_patchmean_feats (block-23 patch-mean pre-norm),cuda,탐색적/exploratory (사후 표현 · §B 판정 불변)
B1,aptos2019,patchmean,3,2930,732,0.6780058206006372,0.7048751672258425,0.2814207650273224,"[0.9778393351800554, 0.7027027027027027, 0.635, 0.4473684210526316, 0.6271186440677966]",w11_patchmean_feats (block-23 patch-mean pre-norm),cuda,탐색적/exploratory (사후 표현 · §B 판정 불변)
B1,aptos2019,patchmean,4,2930,732,0.6281524447794079,0.6846243249659137,0.28005464480874315,"[0.9861495844875346, 0.5405405405405406, 0.678391959798995, 0.41025641025641024, 0.5254237288135594]",w11_patchmean_feats (block-23 patch-mean pre-norm),cuda,탐색적/exploratory (사후 표현 · §B 판정 불변)
B1,aptos2019,patchmean,5,2929,733,0.6660759019103543,0.7171711274085526,0.2592087312414734,"[0.9916897506925207, 0.6621621621621622, 0.69, 0.41025641025641024, 0.576271186440678]",w11_patchmean_feats (block-23 patch-mean pre-norm),cuda,탐색적/exploratory (사후 표현 · §B 판정 불변)
B1,aptos2019,patchmean,6,2929,733,0.6367773639534285,0.6777057007535962,0.2892223738062756,"[0.9861495844875346, 0.5540540540540541, 0.615, 0.38461538461538464, 0.6440677966101694]",w11_patchmean_feats (block-23 patch-mean pre-norm),cuda,탐색적/exploratory (사후 표현 · §B 판정 불변)
B1,aptos2019,patchmean,7,2930,732,0.6622468432092359,0.6812705156381562,0.3005464480874317,"[0.9833795013850416, 0.6486486486486487, 0.59, 0.631578947368421, 0.4576271186440678]",w11_patchmean_feats (block-23 patch-mean pre-norm),cuda,탐색적/exploratory (사후 표현 · §B 판정 불변)
B1,aptos2019,patchmean,8,2930,732,0.6584257679906301,0.6849757162271224,0.28415300546448086,"[0.9695290858725761, 0.7567567567567568, 0.61, 0.4473684210526316, 0.5084745762711864]",w11_patchmean_feats (block-23 patch-mean pre-norm),cuda,탐색적/exploratory (사후 표현 · §B 판정 불변)
B1,aptos2019,patchmean,9,2930,732,0.6262494474547038,0.6944619962888251,0.2923497267759563,"[0.9750692520775623, 0.6351351351351351, 0.7135678391959799, 0.28205128205128205, 0.5254237288135594]",w11_patchmean_feats (block-23 patch-mean pre-norm),cuda,탐색적/exploratory (사후 표현 · §B 판정 불변)
B1,aptos2019,patchmean,10,2929,733,0.677229893405958,0.7173673891556569,0.24829467939972716,"[0.9861495844875346, 0.6756756756756757, 0.67, 0.41025641025641024, 0.6440677966101694]",w11_patchmean_feats (block-23 patch-mean pre-norm),cuda,탐색적/exploratory (사후 표현 · §B 판정 불변)
B1,aptos2019,patchmean,11,2929,733,0.6465358091408611,0.678093890573776,0.28240109140518416,"[0.9750692520775623, 0.6621621621621622, 0.625, 0.5128205128205128, 0.4576271186440678]",w11_patchmean_feats (block-23 patch-mean pre-norm),cuda,탐색적/exploratory (사후 표현 · §B 판정 불변)
