bacc,mcc,macro_mae,classmean_mae,per_class_recall,arm,dataset,fold,n_train,n_test,splitter,splits_sha256,class_weight_range
0.747095010252905,0.7041612977108822,0.5339805825242718,0.5136325662641453,"[0.75, 1.0, 0.6666666666666666, 0.6666666666666666, 0.5454545454545454, 0.6842105263157895, 0.9166666666666666]",w16_fz_wce_g,oral_diseases,2,413,103,"StratifiedGroupKFold(5,shuffle,rs=0)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7866666666666666, 1.372093023255814]"
0.7690343282448545,0.719801043499151,0.3786407766990291,0.37058555479608113,"[0.875, 1.0, 0.9166666666666666, 0.6111111111111112, 0.8181818181818182, 0.5789473684210527, 0.5833333333333334]",w16_fz_ce_g,oral_diseases,3,413,103,"StratifiedGroupKFold(5,shuffle,rs=0)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7866666666666666, 1.372093023255814]"
0.7690343282448545,0.719801043499151,0.3786407766990291,0.37058555479608113,"[0.875, 1.0, 0.9166666666666666, 0.6111111111111112, 0.8181818181818182, 0.5789473684210527, 0.5833333333333334]",w16_fz_wce_g,oral_diseases,3,413,103,"StratifiedGroupKFold(5,shuffle,rs=0)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7866666666666666, 1.372093023255814]"
0.7222366814472078,0.6729331370908345,0.5339805825242718,0.5361199473041579,"[0.875, 0.9333333333333333, 0.6666666666666666, 0.5555555555555556, 0.6, 0.5789473684210527, 0.8461538461538461]",w16_fz_ce_g,oral_diseases,4,413,103,"StratifiedGroupKFold(5,shuffle,rs=0)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7866666666666666, 1.3409090909090908]"
0.7301731893837157,0.6841304430848795,0.5145631067961165,0.520246931431142,"[0.875, 0.9333333333333333, 0.6666666666666666, 0.6111111111111112, 0.6, 0.5789473684210527, 0.8461538461538461]",w16_fz_wce_g,oral_diseases,4,413,103,"StratifiedGroupKFold(5,shuffle,rs=0)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7866666666666666, 1.3409090909090908]"
0.7320128701707649,0.6875814803645374,0.4519230769230769,0.4494883771199561,"[0.875, 1.0, 0.6666666666666666, 0.5555555555555556, 0.7272727272727273, 0.6842105263157895, 0.6153846153846154]",w16_fz_ce_g,oral_diseases,5,412,104,"StratifiedGroupKFold(5,shuffle,rs=1)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7847619047619048, 1.3687707641196014]"
0.744999883157778,0.6996963791294272,0.4326923076923077,0.4235143511459301,"[0.875, 1.0, 0.6666666666666666, 0.5555555555555556, 0.8181818181818182, 0.6842105263157895, 0.6153846153846154]",w16_fz_wce_g,oral_diseases,5,412,104,"StratifiedGroupKFold(5,shuffle,rs=1)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7847619047619048, 1.3687707641196014]"
0.7474253816359079,0.7057467481045123,0.4368932038834951,0.43187704108756736,"[0.75, 0.9333333333333333, 0.75, 0.8333333333333334, 0.6363636363636364, 0.5789473684210527, 0.75]",w16_fz_ce_g,oral_diseases,6,413,103,"StratifiedGroupKFold(5,shuffle,rs=1)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7866666666666666, 1.372093023255814]"
0.7399065846434267,0.6949743708507055,0.4563106796116505,0.44691463507252976,"[0.75, 0.9333333333333333, 0.75, 0.8333333333333334, 0.6363636363636364, 0.5263157894736842, 0.75]",w16_fz_wce_g,oral_diseases,6,413,103,"StratifiedGroupKFold(5,shuffle,rs=1)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7866666666666666, 1.372093023255814]"
0.7415603402445508,0.6938789338585304,0.4368932038834951,0.41591668565352774,"[0.875, 1.0, 0.8333333333333334, 0.5555555555555556, 0.5454545454545454, 0.631578947368421, 0.75]",w16_fz_ce_g,oral_diseases,7,413,103,"StratifiedGroupKFold(5,shuffle,rs=1)",8249f53f37446d959e44c8634ab23bf707049c4e4e0567a4a4347ba1eff0ac85,"[0.7866666666666666, 1.372093023255814]"
