dataset,arm,base,scope,fold,n_test,n_boot,bacc_point,bacc_boot_lo,bacc_boot_hi,delta_point,delta_boot_lo,delta_boot_hi,cv_delta,cv_ci_lo,cv_ci_hi,cv_se_nb,cv_ttest_p_nb,cv_mde_post,mde_floor,note
aptos2019,B5s,B0,fold5,5.0,733,2000,0.6170748646055467,0.5744831137359143,0.659103441759944,-0.0045900130267472194,-0.028873456716537432,0.017559351474046685,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0d,,fold5,5.0,733,2000,0.6054022942067921,0.558584917485714,0.6529425226151944,,,,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1d,B0d,fold5,5.0,733,2000,0.5968278714994054,0.5516486077010632,0.6441990444064141,-0.00857442270738673,-0.028650366887450218,0.012348254024982387,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B3d,B0d,fold5,5.0,733,2000,0.6494043202064705,0.6036851474642754,0.6972059851884842,0.044002025999678396,0.002145912647247317,0.08898710492998363,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B4d,B0d,fold5,5.0,733,2000,0.6183417095021396,0.5732991164177655,0.664358549118042,0.012939415295347478,-0.024536283984780333,0.04842808008193967,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,,fold6,6.0,733,2000,0.6681058110445875,0.6230764286965131,0.7163146655261515,,,,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,B0,fold6,6.0,733,2000,0.7017784607029173,0.6555149102210999,0.7491256004571915,0.03367264965832972,0.0030658690631389404,0.0661870814859867,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B2,B0,fold6,6.0,733,2000,0.6769720663033024,0.6323327219486237,0.7250966054201126,0.008866255258714872,-0.023777430504560493,0.04121385470032692,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B3,B0,fold6,6.0,733,2000,0.6986790627535734,0.6522635872662068,0.74592031031847,0.030573251708985838,-0.009091197699308395,0.07086699396371843,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B4,B0,fold6,6.0,733,2000,0.7208816627539573,0.6754822421073914,0.7666670030355454,0.052775851709369714,0.019421621412038802,0.08897837162017826,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
