bacc,mcc,macro_mae,per_class_recall,arm,dataset,fold,seed,backbone,n_train,n_test
0.7413437439753229,0.7038308409934358,0.5048543689320388,"[0.75, 1.0, 0.6666666666666666, 0.6666666666666666, 0.6, 0.7368421052631579, 0.7692307692307693]",A4n,oral_diseases,4,3,panderm,413,103
0.7662063083115714,0.7303434554863687,0.36538461538461536,"[1.0, 0.9333333333333333, 0.8333333333333334, 0.5555555555555556, 0.6363636363636364, 0.7894736842105263, 0.6153846153846154]",A4n,oral_diseases,5,3,panderm,412,104
0.7157458039036987,0.6695130015623532,0.4854368932038835,"[0.875, 0.9333333333333333, 0.6666666666666666, 0.5555555555555556, 0.5454545454545454, 0.6842105263157895, 0.75]",A4n,oral_diseases,6,3,panderm,413,103
0.716545150755677,0.6604143074926458,0.5048543689320388,"[0.75, 1.0, 0.5833333333333334, 0.6111111111111112, 0.9090909090909091, 0.5789473684210527, 0.5833333333333334]",A4n,oral_diseases,7,3,panderm,413,103
0.7905094905094906,0.7434537665528954,0.44660194174757284,"[0.9333333333333333, 1.0, 0.6923076923076923, 0.6666666666666666, 0.8181818181818182, 0.5, 0.9230769230769231]",A4n,oral_diseases,8,3,panderm,413,103
0.6992111689480112,0.6474495690257491,0.47572815533980584,"[0.875, 1.0, 0.6666666666666666, 0.6111111111111112, 0.6, 0.5263157894736842, 0.6153846153846154]",A4n,oral_diseases,9,3,panderm,413,103
0.7853955255271045,0.7433532328088845,0.34615384615384615,"[0.9375, 1.0, 0.75, 0.5, 0.7272727272727273, 0.7368421052631579, 0.8461538461538461]",A4n,oral_diseases,10,3,panderm,412,104
0.7025356952988533,0.650713615313548,0.5631067961165048,"[0.9375, 0.9333333333333333, 0.75, 0.6111111111111112, 0.5454545454545454, 0.47368421052631576, 0.6666666666666666]",A4n,oral_diseases,11,3,panderm,413,103
0.7487753474595581,0.6936094465546069,0.4368932038834951,"[0.875, 1.0, 0.75, 0.5, 0.8181818181818182, 0.631578947368421, 0.6666666666666666]",A4n,oral_diseases,12,3,panderm,413,103
0.7154068154068154,0.6712495413142044,0.5048543689320388,"[0.8666666666666667, 0.9333333333333333, 0.7692307692307693, 0.6666666666666666, 0.5454545454545454, 0.6111111111111112, 0.6153846153846154]",A4n,oral_diseases,13,3,panderm,413,103
0.7740432812801233,0.717264088197458,0.4563106796116505,"[0.8125, 1.0, 0.6666666666666666, 0.6666666666666666, 0.9, 0.5263157894736842, 0.8461538461538461]",A4n,oral_diseases,14,3,panderm,413,103
