dataset,arm,wave,loss,family,scaling,repeat,n,n_classes,argmax_pred_agree,ece_top_ew,ece_top_em,ece_top_db,ece_top_rms_em,ece_top_bias_corr,ece_dep_em,cwece_ew,cwece_em,cwece_db,cwece_rms_em,brier_multiclass,brier_balanced,brier_ovr_mean,nll,acc,bacc,mean_conf,n_bins_eff_em,exploratory
aptos2019,B1d,w2,ce,softmax,temp,1,3662,5,1.0,0.018589961639600274,0.019518446875441107,0.010002251757826654,0.02546251683722122,0.015460265079394566,0.019518446875441107,0.039325154746225964,0.03798567773289312,0.06901296725458839,0.07081717783470132,0.30379873511515415,0.5078829513877762,0.06075974702303083,0.5827115031884426,0.7872747132714364,0.6247144878528725,0.784092053537124,15,탐색적/exploratory
aptos2019,B1d,w2,ce,softmax,temp,2,3662,5,1.0,0.01718443661601962,0.01793576841240412,0.0,0.023322058169838664,0.023322058169838664,0.01793576841240412,0.04089507043897728,0.04112275206797143,0.06993761760244271,0.07165580463752777,0.3048555073252749,0.5054862729578766,0.06097110146505498,0.5831149982250484,0.7883670125614418,0.6341121717805047,0.7791174324421221,15,탐색적/exploratory
aptos2019,B2,w1,ce,softmax,temp,0,3662,5,1.0,0.01761937457002092,0.01644376550550524,0.006164328518631196,0.021875892109884817,0.01571156359125362,0.01644376550550524,0.017559748956916706,0.018354422149352945,0.02741043901616692,0.03122747726794397,0.2472612239777749,0.46898369229869685,0.049452244795554975,0.4674452850899455,0.8216821409066084,0.6453891742603781,0.8119822327059263,15,탐색적/exploratory
aptos2019,B2,w1,ce,softmax,temp,1,3662,5,1.0,0.012772804344414862,0.013678730809501593,0.0,0.020079033765363685,0.020079033765363685,0.013678730809501593,0.017253064225629985,0.016593877133758095,0.02370637270899969,0.029193971601568097,0.25189845469279987,0.4742368172319674,0.05037969093855997,0.4743250863968692,0.8216821409066084,0.6439258108588567,0.8100648182550483,15,탐색적/exploratory
aptos2019,B2,w1,ce,softmax,temp,2,3662,5,1.0,0.015120072973370072,0.019901151926892888,0.01439624736453178,0.025561552408575303,0.011165305044043523,0.019901151926892888,0.01623854119670557,0.015501570608244752,0.02372786732509874,0.02826403666721595,0.24765079090343647,0.4773957620704213,0.049530158180687296,0.46672302129359555,0.8255051884216276,0.6488494659097477,0.8230330230422481,15,탐색적/exploratory
aptos2019,B3,w1,coral,coral,temp,0,3662,5,0.9325505188421628,0.04927979924536132,0.0486691436311087,0.05410976483407107,0.058878629624860755,0.004768864790789688,0.05791490876884226,0.07263899154928419,0.0724741660618031,0.11014408764232748,0.11112619604989242,0.3134918733113192,0.4446463672077322,0.06269837466226384,0.9378343072120322,0.7995630802839978,0.6689828565186404,0.7656484611153413,15,탐색적/exploratory
aptos2019,B3,w1,coral,coral,temp,1,3662,5,0.9333697433096668,0.0572292990284353,0.05702230539525633,0.06533919795573638,0.06932217375527351,0.003982975799537131,0.06630083013919202,0.07367175640445513,0.07406624887171212,0.1078591538574365,0.10889307520023372,0.31572734514677897,0.4434716294075784,0.06314546902935579,0.9438417969368754,0.7965592572364828,0.6606450904571544,0.7577063767225245,15,탐색적/exploratory
aptos2019,B3,w1,coral,coral,temp,2,3662,5,0.93200436919716,0.05142287922587327,0.04894243265375438,0.05196477747388881,0.05695325401430402,0.004988476540415211,0.05561547082321999,0.07197352525150501,0.07192829997732404,0.11031902872427779,0.11128924546021005,0.314890166119827,0.45846857801378615,0.0629780332239654,0.9539679258202861,0.7965592572364828,0.661128466722648,0.7707971464524744,15,탐색적/exploratory
aptos2019,B3d,w2,coral,coral,temp,0,3662,5,0.9098853085745494,0.06737374953622155,0.06636078514549797,0.07130527006671397,0.07518150613073252,0.0038762360640185456,0.06699660262535861,0.07876776432825179,0.07918329977491297,0.11520701070292338,0.11625619331540764,0.34283627912655584,0.4881781585045248,0.06856725582531117,1.1512942422458512,0.7812670671764064,0.6426717679550588,0.7489448324490794,15,탐색적/exploratory
aptos2019,B3d,w2,coral,coral,temp,1,3662,5,0.8943200436919716,0.06176031656068989,0.06430816863590286,0.06886662969938519,0.07295862205747751,0.004091992358092322,0.06388691778504807,0.08139733947593561,0.08124504235605726,0.11655539145256981,0.11764371252421715,0.34775834353968976,0.4923012689070253,0.06955166870793796,1.1874422473983886,0.7799016930638996,0.6393036132417313,0.7354521243805322,15,탐색적/exploratory
aptos2019,B3d,w2,coral,coral,temp,2,3662,5,0.9000546149645002,0.06859199800713094,0.06996495351505935,0.07584197790696863,0.07957632270909515,0.0037343448021265185,0.06124162309169636,0.08248752428580432,0.0822711932485323,0.11733750455283384,0.11839085077586872,0.34907283553916435,0.5031109442614581,0.06981456710783288,1.2328464189980994,0.7801747678864008,0.6249814308201832,0.7368999156127334,15,탐색적/exploratory
aptos2019,B4,w1,corn,corn,temp,0,3662,5,0.9445658110322228,0.020138423442149445,0.019576593167301783,0.01296440733250408,0.025491916521236804,0.012527509188732723,0.027543984822646212,0.03891674504271211,0.038418323028654555,0.06440595498626675,0.06604064729455729,0.27378082286874644,0.4507600629398154,0.05475616457374929,0.5189553782080022,0.801201529219006,0.6688445099270927,0.7869303168050705,15,탐색적/exploratory
aptos2019,B4,w1,corn,corn,temp,1,3662,5,0.93801201529219,0.02479641902174852,0.024005487510586513,0.024949736917549727,0.03337971765488495,0.00842998073733522,0.03427498441836395,0.04076022937485817,0.03955077574464479,0.06474916501542685,0.06640289360532561,0.2791885459737179,0.45388046548316935,0.05583770919474358,0.5241554284697869,0.7965592572364828,0.6528942567669141,0.7725537697258963,15,탐색적/exploratory
aptos2019,B4,w1,corn,corn,temp,2,3662,5,0.9475696340797378,0.015002651256920078,0.010910903682892709,0.0,0.017990699366056528,0.017990699366056528,0.018283742050444713,0.03917328862636098,0.038119861999892715,0.06573579676505827,0.0673455845469545,0.2790123099223351,0.4643889739205326,0.05580246198446702,0.5231629454912843,0.7992900054614964,0.656259450736323,0.7928362878112105,15,탐색적/exploratory
