cell,comparison,n_folds,mean_diff,sd,se_nb,mde_80
hk_l_N500_IR9p35,L1 - L23,15,-0.0821792867626201,0.06172839903676998,0.03473651050053133,0.1046555993408319
hk_l_N500_IR9p35,L2 - L23,15,-0.07814582022915359,0.06424832579046315,0.036154552495887324,0.10892793506989659
hk_l_N500_IR9p35,L3 - L23,15,-0.04832887791221125,0.06648210772767259,0.03741157180836864,0.11271513498247043
hk_l_N500_IR9p35,L4 - L23,15,-0.019139594972928307,0.06149991410087084,0.03460793484493485,0.10426822127368598
hk_l_N500_IR9p35,L5 - L23,15,-0.019382700632700613,0.059399930559002244,0.03342620809531334,0.10070786591683917
hk_l_N500_IR9p35,L6 - L23,15,-0.02150822942489609,0.05339712695898767,0.030048241818230317,0.09053058903475757
hk_l_N500_IR9p35,L7 - L23,15,-0.01218876802210136,0.06119212998421466,0.03443473504764615,0.10374639774191004
hk_l_N500_IR9p35,L8 - L23,15,0.00397475980809315,0.05851777151908077,0.032929789473875946,0.0992122353079533
hk_l_N500_IR9p35,L9 - L23,15,-0.01894953811620479,0.05325562404056841,0.029968613678051294,0.09029068207188909
hk_l_N500_IR9p35,L10 - L23,15,-0.011903667320333988,0.0590889404613923,0.033251204191765575,0.10018060689891058
hk_l_N500_IR9p35,L11 - L23,15,0.002585870919204251,0.05840628237847422,0.032867051029921365,0.09902321432227665
hk_l_N500_IR9p35,L12 - L23,15,-0.0073500265166931865,0.05599095824200332,0.03150787221534152,0.0949282240252795
hk_l_N500_IR9p35,L13 - L23,15,0.001280925864259186,0.056757534214014735,0.03193924861124267,0.09622789271980288
hk_l_N500_IR9p35,L14 - L23,15,0.013290305373638697,0.04324775736386769,0.02433687251308032,0.07332313874471877
hk_l_N500_IR9p35,L15 - L23,15,0.012397448230781557,0.0420252167260511,0.023648910466996055,0.07125041816285167
hk_l_N500_IR9p35,L16 - L23,15,0.015158992242325567,0.04826086977793226,0.027157908450004077,0.08182247280236007
hk_l_N500_IR9p35,L17 - L23,15,0.012998498415165071,0.04786506039100457,0.0269351740661586,0.08115140941403261
hk_l_N500_IR9p35,L18 - L23,15,0.015478657145323815,0.042811833007208436,0.024091564174798106,0.07258406361033426
hk_l_N500_IR9p35,L19 - L23,15,0.012397849064515723,0.04065172405314051,0.02287600296575758,0.0689217703910526
hk_l_N500_IR9p35,L20 - L23,15,0.009625482542149217,0.03645885848901568,0.020516545714828693,0.061813099740002105
hk_l_N500_IR9p35,L21 - L23,15,0.014584705418038742,0.026247775440656134,0.014770448309648061,0.044501019190034956
hk_l_N500_IR9p35,L22 - L23,15,0.00806845931845932,0.031173807113289854,0.017542481176083872,0.05285271476477861
hk_l_N500_IR20,L0 - L23,15,-0.1748337049424006,0.0785069492115334,0.044178328098654775,0.1331022989476709
hk_l_N500_IR20,L1 - L23,15,-0.16419469218382257,0.07777137163450282,0.0437643954740089,0.13185518557056944
hk_l_N500_IR20,L2 - L23,15,-0.14487549160782853,0.06448485770669501,0.03628765644026477,0.10932895615326757
hk_l_N500_IR20,L3 - L23,15,-0.13301355598909947,0.05984599084456544,0.03367722023940129,0.10146412571388902
hk_l_N500_IR20,L4 - L23,15,-0.10128731574383745,0.07506982500773322,0.042244150267057114,0.1272749277672955
hk_l_N500_IR20,L5 - L23,15,-0.10489531075808249,0.07471020634285495,0.042041781540123335,0.12666522287466467
hk_l_N500_IR20,L6 - L23,15,-0.10580557878112223,0.08051639990517517,0.04530910916878116,0.13650916304864427
hk_l_N500_IR20,L7 - L23,15,-0.10704303697510217,0.07444826916670612,0.041894381257404946,0.12622112919027847
hk_l_N500_IR20,L8 - L23,15,-0.09072908924811095,0.06424938400597363,0.03615514798701888,0.10892972919027245
hk_l_N500_IR20,L9 - L23,15,-0.10477556360708531,0.06382983629146656,0.03591905530005696,0.10821841935235395
hk_l_N500_IR20,L10 - L23,15,-0.09100642186919358,0.07196419534605485,0.040496514834468096,0.12200957926246857
hk_l_N500_IR20,L11 - L23,15,-0.037856493094264844,0.06532837792054032,0.03676233177970123,0.11075907770045855
hk_l_N500_IR20,L12 - L23,15,-0.0416510087637805,0.06460773845547518,0.03635680530022099,0.10953729070611055
hk_l_N500_IR20,L13 - L23,15,-0.02825401802303976,0.049879718417127177,0.028068885465958572,0.08456710213376577
hk_l_N500_IR20,L14 - L23,15,-0.021053163322185053,0.046029689303678706,0.025902353062502086,0.07803968346367214
hk_l_N500_IR20,L15 - L23,15,-0.009560630341880335,0.03916237881617889,0.022037901585033017,0.06639670379558192
hk_l_N500_IR20,L16 - L23,15,-0.0204153311965812,0.04523881962971574,0.02545730583686771,0.07669882672640639
hk_l_N500_IR20,L17 - L23,15,-0.04124866452991452,0.0532627687895336,0.029972634252881127,0.09030279542646753
hk_l_N500_IR20,L18 - L23,15,-0.05071047008547007,0.05098989124048759,0.028693614610692947,0.08644931200821074
hk_l_N500_IR20,L19 - L23,15,-0.034304220085470086,0.041305268042897025,0.023243772712211126,0.07002980233438591
hk_l_N500_IR20,L20 - L23,15,-0.026740117521367512,0.04642635338847118,0.026125568411702542,0.07871219592436647
hk_l_N500_IR20,L21 - L23,15,-0.025872061965811963,0.03934610673316479,0.02214129105920065,0.06670819989086131
hk_l_N500_IR20,L22 - L23,15,-0.02031650641025641,0.03642823525296422,0.020499313057295684,0.0617611804747574
hk_l_N950_IR9p35,L0 - L23,15,-0.14331801372449443,0.04532846489402056,0.02550775204498972,0.0768508131542141
hk_l_N950_IR9p35,L1 - L23,15,-0.09835599668310907,0.03348220154828776,0.018841487286430397,0.05676641424313119
hk_l_N950_IR9p35,L2 - L23,15,-0.08349374620457477,0.04104772597628105,0.02309884569578218,0.06959316020924158
hk_l_N950_IR9p35,L3 - L23,15,-0.05002504477566002,0.04183808854373352,0.023543607556642785,0.07093315718768299
