pair,layer,bhattacharyya,fisher_J,perdim_fisher_mean,perdim_fisher_max
OLP_vs_rest,11,2.808589220046997,6.0481953620910645,0.07890130579471588,0.6768621802330017
OLP_vs_rest,12,2.820004940032959,5.5928544998168945,0.07915642857551575,0.6971065402030945
OLP_vs_rest,13,2.8380022048950195,5.670584678649902,0.08420509099960327,0.7097717523574829
OLP_vs_rest,14,2.9009337425231934,5.953134059906006,0.08478470891714096,0.6013351678848267
OLP_vs_rest,15,3.1462936401367188,6.258449077606201,0.08323778212070465,0.6917631030082703
OLP_vs_rest,16,3.5759618282318115,6.130074501037598,0.0829402506351471,0.7958648204803467
OLP_vs_rest,17,3.7834534645080566,6.160325527191162,0.08713305741548538,0.6437993049621582
OLP_vs_rest,18,3.8348307609558105,6.224496841430664,0.0846831351518631,0.6399214863777161
OLP_vs_rest,19,3.895073652267456,6.282821178436279,0.08626982569694519,0.6253385543823242
OLP_vs_rest,20,4.080507755279541,6.0798211097717285,0.08770516514778137,0.6350804567337036
OLP_vs_rest,21,4.316330909729004,6.015140533447266,0.08985257148742676,0.6662810444831848
OLP_vs_rest,22,4.336402893066406,5.9041428565979,0.09345871955156326,0.7033728957176208
OLP_vs_rest,23,4.0089216232299805,5.735021591186523,0.09716363251209259,0.7416645884513855
